year,basin_total_m3s,ssa,outlet_ssa,drought,extreme_drought,extreme_wet,ssa_30yr_mean
1951,471833.60106400406,-1.2583353145046234,-0.6923033885572438,True,True,False,
1952,652424.3070187342,0.17026766437057364,0.4691579353114626,False,False,False,
1953,642926.4824731179,0.09513300909045792,0.31664991078934335,False,False,False,
1954,650016.406112785,0.15121942825626555,0.42859470107505154,False,False,False,
1955,814292.4055125937,1.4507612892814776,1.2180672210959296,False,False,True,
1956,863356.9739106933,1.8388974793483235,1.0377034033186694,False,False,True,
1957,653988.1072592983,0.18263845427487654,-0.14098462392794858,False,False,False,
1958,759637.9706499183,1.0184052162445232,0.7614960755766513,False,False,True,
1959,695299.1716855158,0.5094388252452059,0.4024927210652654,False,False,False,
1960,741742.6342588492,0.8768401742281101,0.603230238170848,False,False,False,
1961,913232.3290397292,2.233447578331049,0.9024257825778654,False,False,True,
1962,682651.8880183713,0.40938967251587627,-0.5106617288474784,False,False,False,
1963,710127.0170074892,0.6267377963372288,0.6527175079164812,False,False,False,
1964,701398.7283278859,0.5576907258235901,0.8963705047457534,False,False,False,
1965,460769.28243249183,-1.3458620699521882,-0.8337328310304027,True,True,False,0.5011113285927163
1966,447787.4310374555,-1.4485578951676512,-0.7839711729732672,True,True,False,0.3792570021076934
1967,689620.8591742525,0.46451927013471994,-0.6462035679290129,False,False,False,0.384272429638695
1968,575379.8233295497,-0.43920987392456645,-0.3965510629229739,False,False,False,0.33852341277406933
1969,691572.1809128895,0.47995563511166195,-0.26310998354138965,False,False,False,0.3459672139497321
1970,613153.48726604,-0.14039289695218515,0.6337103325602708,False,False,False,0.3216492084046363
1971,873478.4593199863,1.9189657427172173,1.5650481165336279,False,False,True,0.3977119005147592
1972,447910.743332842,-1.4475824058057276,-1.4413877475597212,True,True,False,0.3138348865911007
1973,744611.8956870723,0.8995381054525374,0.9383545839021978,False,False,False,0.3393002439329023
1974,595453.5883667166,-0.28041188718583493,1.4611449136611445,False,False,False,0.31347890513628823
1975,821885.2375822583,1.5108260775299998,1.095106905989245,False,False,True,0.3613727920320367
1976,614263.3594345842,-0.13161300610580773,-0.269141680256023,False,False,False,0.34241179979596575
1977,617299.2841474791,-0.10759664786880205,0.6272251457771416,False,False,False,0.32574482025282625
1978,814511.6846540725,1.4524959457415967,0.989449213510314,False,False,True,0.3659859318774252
1979,406274.5723173095,-1.776954604819433,-1.2498290375709242,True,True,False,0.29209143061201626
1980,714706.6537251464,0.6629660320175931,1.187022146436043,False,False,False,0.30445391732553545
1981,556637.6393730147,-0.5874740921155338,-0.3598288007468995,True,False,False,0.3268159580718385
1982,612444.1229486221,-0.1460044812893387,-0.8195978216980255,False,False,False,0.3162735532165081
1983,704050.7562803605,0.5786701832820228,0.2829621259194576,False,False,False,0.3323914590228936
1984,675443.619601346,0.35236706064527534,1.608818480964577,False,False,False,0.3390963801025272
1985,751167.6942928766,0.9513992096419506,1.091694659806066,False,False,False,0.3224509774478763
