seg_id,year,annual_mean_m3s,ssa,river_name,updated_tier
1429,1951,24559.286727272727,-0.6923033885572436,,
1429,1952,28895.269191666666,0.46915793531146244,,
1429,1953,28325.924258333336,0.31664991078934324,,
1429,1954,28743.838,0.4285947010750514,,
1429,1955,31691.107041666666,1.2180672210959291,,
1429,1956,31017.7705,1.037703403318669,,
1429,1957,26617.47708333333,-0.14098462392794853,,
1429,1958,29986.629725000003,0.7614960755766511,,
1429,1959,28646.39375,0.4024927210652653,,
1429,1960,29395.789650000002,0.6032302381708478,,
1429,1961,30512.750333333333,0.9024257825778651,,
1429,1962,25237.393725,-0.5106617288474782,,
1429,1963,29580.53616666667,0.6527175079164809,,
1429,1964,30490.144691666665,0.8963705047457531,,
1429,1965,24031.300499999998,-0.8337328310304024,,
1429,1966,24217.071366666667,-0.7839711729732669,,
1429,1967,24731.387175,-0.6462035679290127,,
1429,1968,25663.39314166667,-0.3965510629229737,,
1429,1969,26161.557108333334,-0.26310998354138954,,
1429,1970,29509.578333333335,0.6337103325602705,,
1429,1971,32986.46061666667,1.5650481165336274,,
1429,1972,21762.795291666665,-1.4413877475597205,,
1429,1973,30646.8802,0.9383545839021975,,
1429,1974,32598.567833333334,1.4611449136611439,,
1429,1975,31232.070000000003,1.0951069059892447,,
1429,1976,26139.0395,-0.26914168025602286,,
1429,1977,29485.36775,0.6272251457771414,,
1429,1978,30837.627333333334,0.9894492135103137,,
1429,1979,22477.924750000002,-1.2498290375709238,,
1429,1980,31575.209166666667,1.1870221464360426,,
1429,1981,25800.485166666665,-0.3598288007468994,,
1429,1982,24084.0695,-0.8195978216980252,,
1429,1983,28200.16058333333,0.28296212591945746,,
1429,1984,33149.864708333334,1.6088184809645762,,
1429,1985,31219.331358333333,1.0916946598060655,,
1429,1986,26441.034499999998,-0.18824755409613872,,
1429,1987,31560.748383333335,1.1831485974324587,,
1429,1988,30382.25885833333,0.867471581874411,,
1429,1989,25796.672558333332,-0.3608500680510432,,
1429,1990,31190.815824999998,1.0840563242343402,,
1429,1991,28483.695958333334,0.3589115502345633,,
1429,1992,21779.403583333333,-1.4369389545618778,,
1429,1993,26202.790283333332,-0.25206502696786215,,
1429,1994,24193.782916666667,-0.7902093517920161,,
1429,1995,28364.153625000003,0.3268902499014007,,
1429,1996,26577.86728333333,-0.1515947338912524,,
1429,1997,22705.22765,-1.188942369019764,,
1429,1998,29877.980249999997,0.7323925992348055,,
1429,1999,31066.44115833333,1.0507406071647631,,
1429,2000,25715.058066666665,-0.3827117975013924,,
1429,2001,25046.421466666667,-0.5618166617392639,,
1429,2002,24975.572750000003,-0.5807946084744715,,
1429,2003,30751.815083333335,0.9664630482507449,,
1429,2004,27350.90416666667,0.055475393649306794,,
1429,2005,23361.075800000002,-1.0132630929131168,,
1429,2006,19825.840275,-1.9602317134672833,,
1429,2007,23217.453891666664,-1.0517344873800463,,
1429,2008,24170.033591666666,-0.7965709832520143,,
1429,2009,18856.44059166667,-2.2199007155465176,,
1429,2010,26354.289116666667,-0.21148367384366443,,
1429,2011,26594.749850000004,-0.14707247200666285,,
1429,2012,23749.697625,-0.9091646047261123,,
1429,2013,26152.717125,-0.26547791257007575,,
1429,2014,19862.589,-1.9503879875898185,,
1429,2015,21676.680291666667,-1.4644550091841126,,
1429,2016,27232.915908333332,0.023870376827829276,,
1429,2017,29919.94208333333,0.7436327384409739,,
1429,2018,24196.066083333335,-0.7895977695725175,,
1429,2019,30506.63275,0.9007870913480095,,
1429,2020,32653.512166666667,1.4758626203531005,,
1429,2021,31240.22025,1.0972900790607665,,
1429,2022,16109.842,-2.9556204890025164,,
1445,1951,24467.707081818182,-0.6928141477263489,,
1445,1952,28779.296691666666,0.46400483418452937,,
1445,1953,28205.030883333337,0.3099267219669486,,
1445,1954,28648.130816666668,0.4288124370156624,,
1445,1955,31621.704266666668,1.2266356350326695,,
1445,1956,30895.665225,1.0318360782543752,,
1445,1957,26548.22725,-0.1346011820712716,,
1445,1958,29939.127558333334,0.7751926984704569,,
1445,1959,28492.0735,0.3869415535313635,,
1445,1960,29274.537466666665,0.5968801727435684,,
1445,1961,30420.055916666664,0.9042279509417107,,
1445,1962,25137.561525,-0.5130891726916073,,
1445,1963,29487.458408333332,0.6540078238548241,,
1445,1964,30385.586025,0.8949795231940129,,
1445,1965,23927.119749999998,-0.8378561724588014,,
1445,1966,24148.97638333333,-0.7783310348815587,,
1445,1967,24659.09985,-0.6414626028744318,,
1445,1968,25575.195624999997,-0.39566996543331967,,
1445,1969,26086.65964166667,-0.2584418578015313,,
1445,1970,29394.03210833333,0.6289411252518693,,
1445,1971,32896.99005,1.5688005753487135,,
1445,1972,21697.908916666667,-1.43596351569734,,
1445,1973,30544.19334166667,0.9375345832050234,,
1445,1974,32477.80398333333,1.4563310588240177,,
1445,1975,31152.245208333334,1.1006776475958522,,
1445,1976,26056.267333333333,-0.26659625150908234,,
1445,1977,29399.311875,0.630357710514556,,
1445,1978,30741.52391666667,0.9904792684668032,,
1445,1979,22363.178499999998,-1.257468679284794,,
1445,1980,31478.83208333333,1.1883023824221868,,
1445,1981,25670.96166666667,-0.36997550356491177,,
1445,1982,24008.180041666667,-0.8161073297894896,,
1445,1983,28063.51680833333,0.27195785596132704,,
1445,1984,32980.97066666667,1.5913329544162094,,
1445,1985,31151.839666666667,1.100568838933524,,
1445,1986,26336.176291666667,-0.19149541272162635,,
1445,1987,31451.787666666667,1.1810462431822084,,
1445,1988,30275.719166666666,0.8655017484743124,,
1445,1989,25733.81683333333,-0.3531111782253486,,
1445,1990,31107.648716666667,1.088712207293095,,
1445,1991,28372.86216666667,0.3549566139295292,,
1445,1992,21727.6945,-1.4279719090498557,,
1445,1993,26089.724225,-0.257619616240426,,
1445,1994,24138.618416666664,-0.781110124159126,,
1445,1995,28271.835566666665,0.3278507204810964,,
1445,1996,26497.715283333335,-0.1481537710561266,,
1445,1997,22630.188241666667,-1.1858287586370642,,
1445,1998,29797.637566666668,0.7372302941320341,,
1445,1999,30950.501016666665,1.046548769031626,,
1445,2000,25622.951083333333,-0.3828569600944838,,
1445,2001,24963.74974166667,-0.5597236598377165,,
1445,2002,24843.107374999996,-0.5920925521515575,,
1445,2003,30658.591716666666,0.9682281843301096,,
1445,2004,27257.46356666667,0.05569012763651606,,
1445,2005,23276.173375000002,-1.012508027330614,,
1445,2006,19734.469458333333,-1.9627631976625797,,
1445,2007,23090.573008333333,-1.0623054446727451,,
1445,2008,24059.790716666666,-0.8022599523923325,,
1445,2009,18773.097550000002,-2.2207036263377855,,
1445,2010,26263.413516666667,-0.2110179941621794,,
1445,2011,26514.056308333336,-0.14376940018263193,,
1445,2012,23705.802574999998,-0.8972365709267087,,
1445,2013,26077.206658333333,-0.2609781359599887,,
1445,2014,19797.971316666666,-1.9457253620256216,,
1445,2015,21552.900175,-1.4748700165664956,,
1445,2016,27153.5298,0.02780422823021247,,
1445,2017,29804.39891666667,0.7390443949002237,,
1445,2018,24112.772166666666,-0.78804478986639,,
1445,2019,30444.210541666664,0.9107087460148577,,
1445,2020,32564.951749999997,1.4797131985529148,,
1445,2021,31140.876999999997,1.097627505912543,,
1445,2022,16021.877,-2.95886853618762,,
1495,1951,18.635499227272728,0.3880433341775639,,
1495,1952,22.880495458333332,1.444163011435031,,
1495,1953,19.603127333333333,0.6287811411043449,,
1495,1954,17.10782005,0.00796948915294354,,
1495,1955,13.121143608333332,-0.9838823777805137,,
1495,1956,22.938158883333333,1.4585091909098113,,
1495,1957,12.595415691666666,-1.114679101135087,,
1495,1958,9.879949883333333,-1.7902643589302767,,
1495,1959,25.648441416666667,2.1328048930912455,,
1495,1960,21.73592555,1.159403559037216,,
1495,1961,19.187824133333333,0.5254571667887287,,
1495,1962,18.184795658333332,0.27591204315680923,,
1495,1963,18.15265043333333,0.26791457912987715,,
1495,1964,19.484904683333333,0.5993683312533153,,
1495,1965,18.177114466666666,0.27400102669827975,,
1495,1966,13.447135908333331,-0.9027782109157061,,
1495,1967,14.463385441666667,-0.6499437981772769,,
1495,1968,16.961964825,-0.028318075021131223,,
1495,1969,14.067948525,-0.7483252067990093,,
1495,1970,19.654212275,0.6414906487620786,,
1495,1971,16.467653416666668,-0.15129863298107274,,
1495,1972,12.52390295,-1.1324708751527346,,
1495,1973,19.651944175,0.6409263643882884,,
1495,1974,19.4788906,0.5978720774515982,,
1495,1975,13.976811583333332,-0.7709993181951428,,
1495,1976,14.671322375,-0.5982108224645892,,
1495,1977,15.363339358333334,-0.4260427654597226,,
1495,1978,18.763850033333334,0.4199759448311652,,
1495,1979,17.942527458333334,0.21563773447271925,,
1495,1980,18.067766191666667,0.24679608737309086,,
1495,1981,20.729446208333332,0.9089998885440314,,
