name,river_name,seg_id,latitude,longitude,dist_deg
Chambal Right Branch Main Canal,Kali Sindh,3569.0,25.097053,76.169037,0.003047
water canal,,,24.089868,82.683204,0.069451
Subarnarekha Main Canal,,,22.370926,86.593429,2.046918
Seventeen Left Distributary,Kunwari,3376.0,26.455777,77.814877,0.020577
Morena Branch Canal,Kunwari,3349.0,26.209017,77.554762,0.000566
One Left Distributary,Asan,3366.0,26.371537,77.838294,0.037123
"DNMC, 3(L)",,,26.335024,88.325114,0.062934
"DNMC, 2(L)",,,26.352776,88.357702,0.084617
"DNMC, 1(R)",Dahuk,4845.0,26.341623,88.283188,0.033364
"DNMC, 5(R), M2(R)",Dahuk,4845.0,26.3245,88.274769,0.049678
"DNMC, 5(R)",,,26.324626,88.293704,0.052665
Dauk-Nagar Main Canal,,,26.223117,88.141798,0.057196
Barun Canal,Son,4411.0,24.829381,84.141362,0.008447
kangsabati canal,,,22.365074,87.016594,1.629496
jogipur canal,Ganga,4578.0,25.593371,85.160991,0.033439
Dehri Canal,Ganga,4409.0,25.585325,84.694474,0.001755
Kestopur Canal,,,22.653367,88.380754,0.239133
Kosi main canal,,,25.609666,87.40399,0.055651
Chandra Branch Canal,Kosi,4883.0,26.451183,86.756533,0.037006
Mehsi - Sahebganj Rd,Baya,4575.0,26.361237,84.936765,0.031772
Motipur Minor,Kosi,3857.0,29.390381,79.12922,0.00453
Sarda Canal Kheri Branch,,,28.719174,80.070505,0.076063
Sarda Kanal Hardoi Branch,Sharda,3847.0,28.755324,80.110518,0.0224
Sarda Canal,,,28.929232,80.018052,0.05216
Sarda Canal Nagina Branch,Khaimua,3793.0,27.975926,79.909491,0.041763
Sarda Canal Bisalpur Branch,Katna,3845.0,28.303667,79.825295,0.01098
Bisalpur Branch,Katna,3845.0,28.172877,79.817167,0.004627
Left Chorell Distributary,Afsarha,3831.0,28.539129,79.610852,0.044522
Left Girem Distributary,East Bahgul,3830.0,28.334878,79.540374,0.008308
Girem Distributary,East Bahgul,3830.0,28.480892,79.553908,0.006841
Rasula Minor,East Bahgul,3830.0,28.443289,79.555695,0.003612
Saidpur Minor,Jamni,4163.0,24.455315,78.718361,0.010444
Rampur Minor,Jamni,4163.0,24.488154,78.712213,0.010445
Right Jamni Canal,Jamni,4163.0,24.355991,78.717433,0.026183
Deoran Minor,Jamni,4163.0,24.43832,78.709681,0.006336
Rhinocerous Enclosure,,,22.537029,88.331078,0.309957
"Pelican, Stork and Goose Enclosure",,,22.536625,88.331923,0.309304
south purbachal canal,,,22.524264,88.397261,0.254602
Beliāghāta Canal,,,22.59253,88.38022,0.247227
"DNMC, 9(L)",,,26.273471,88.217312,0.078398
