name,river_name,seg_id,latitude,longitude,dist_deg
Jajoorali johadi,,,27.12457,76.180977,
Jajoorali johadi,,,27.121912,76.186958,
"Okhala ka bandh (chhotoo, jagadisha ka)",,,27.157973,76.184637,
Samala kyarada ka bandh (Ramnath ka),,,27.159311,76.186053,
Samala kyarada ka bandh (jayram ka),,,27.160196,76.184261,
Okhala wali johadi,,,27.159888,76.18274,
Kundyala ki talai,,,27.187724,76.164169,
Nal ke bandh ki paal,,,27.174107,76.195012,
Manyakala bandh,,,27.173098,76.192209,
Bendadi wala bandh(Lkshaman gurjar ka),,,27.170695,76.189368,
Kadiyala ki talai,,,27.177078,76.192601,
Bendadi wala bandh(Lkshaman gurjar ka),,,27.184424,76.192596,
Girdhari ka bandh-2(Kyarda me),,,27.18751,76.201301,
Kali talai,,,27.175192,76.197446,
Devnarayan ki medbandi,,,27.176462,76.202229,
Lamaida ka nala ki johadi,,,27.182976,76.204991,
Sandya ki talai,,,27.185887,76.21246,
Lalolai ki talai,,,27.179723,76.215461,
Modala bandh,,,27.172896,76.215476,
Devara ke pas wali talai,,,27.172203,76.204944,
Naya Kuaa ki talai (Meena wali),,,27.171321,76.205169,
Dalolai ki johadi(raaste wali Johadi),,,27.162506,76.207456,
Sedha ki talai,,,27.15957,76.21617,
Bawariya ki johadi(Sawaritala ki),,,27.154213,76.210428,
Chaukyala ki talai,,,27.152498,76.206387,
Ganga Ram ki medbandi,,,27.136519,76.194985,
Peera wali talai,,,27.13231,76.195554,
"Badayala bandh (Narayan,Rampratap ka",,,27.137848,76.195534,
Kala kheta ka bandh,,,27.162636,76.218717,
Khajoori wala anicut,,,27.184196,76.222844,
Kandala ki johadi,,,27.18545,76.228901,
Ravata wala bandh,,,27.177906,76.234457,
Bholaram ka bandh(Dongar Taela),,,27.182694,76.242716,
"Radhala bandh(Kaalu, Shravan, Kanhaiya ka)",,,27.187887,76.239326,
"Doongar tal ka bandh(Bhagwan, Sahay, Sugga ka)",,,27.186127,76.24756,
Badi johadi(Master ji ka),,,27.15186,76.257757,
Baboolal nayak ki talai,,,27.140022,76.265549,
Bodyala ki talai (neemdi wali),,,27.124078,76.258781,
Po ki ghati ka bandh(Gopaj me),,,27.290685,76.225601,
Ram talai bandh,,,27.26918,76.222449,
Mandookali Johadi,,,27.202378,76.239391,
Kyarada ki talai,,,27.195985,76.245089,
"Radhala bandh(Kaalu, Shravan, Kanhaiya ka)",,,27.189336,76.240349,
"Bans ka tola ka bandh(Rameshwar,Prabhu ka)",,,27.1987,76.228701,
Batala ka bandh (moolchand patel ka),,,27.202959,76.219452,
Kiro wala bandh,,,27.204831,76.226457,
Khagah wala bandh(Banaji ka),,,27.213973,76.223466,
Kalshikala ki talai,,,27.242783,76.221306,
Mandyala ki talai,,,27.227246,76.190885,
NanaChhi ki medbandi(Kalipati ki),,,27.221471,76.194879,
Pipali wali talai,,,27.218546,76.191792,
Dadi wala bandh,,,27.221567,76.200313,
Ghati wali Johadi (Rooda ki),,,27.219921,76.205851,
jaadkhan wali johadi,,,27.227177,76.213062,
jaadkhan,,,27.227268,76.211382,
Rudaram ki medbandi,,,27.211028,76.203445,
Rudaram ki medbandi -4,,,27.212195,76.206072,
Rudaram ki medbandi -1,,,27.211752,76.208315,
Jabar sagar (bhaisadah ka anicut),,,27.208173,76.202751,
Kundali ki medbandi (biradoo ki),,,27.206733,76.21554,
Chhitar ki medbandi-2(nagrakaala me),,,27.202538,76.212292,
Ghayada bandh(Shravan ka),,,27.197559,76.195641,
Gyarasa ka anicut (Gogdi wala me),,,27.198941,76.200843,
Nanga balayi ki,,,27.192561,76.199912,
Badari bandh,,,27.200889,76.193067,
Lakshminarayan ki medbandi,,,27.206928,76.200944,
Rudaram ka bandh(Keetala ki Radi me),,,27.209442,76.201904,
Khedan ki Johadi(Badi Johadi),,,27.215478,76.191084,
Ralala ka bandh,,,27.212932,76.184807,
Potani wali Johadi,,,27.210069,76.185552,
Dhamlala me khar ki talai(Sanjaynath ji ki talai),,,27.198389,76.170694,
Chaudya ki talai,,,27.193863,76.169939,
Chaudya ki talai,,,27.191305,76.168189,
Jaalakhi wala anicut,,,27.205266,76.159757,
Godooram gurjar ka bandh,,,27.215838,76.172214,
Chaudi nali ki Johadi,,,27.22685,76.159284,
Pani papda ka bandh,,,27.22661,76.161971,
Khatolai ki Johadi,,,27.230254,76.17253,
Balaji ki Johadi,,,27.237759,76.187078,
Devi ki Johadi(Talavada me),,,27.240263,76.186258,
Gulla tala ka bandh,,,27.242149,76.184963,
Khora wala anicut,,,27.270814,76.1824,
Khora wali Johadi(Ama wali johadi),,,27.269409,76.180388,
Badari Gurjar ki,,,27.259941,76.189126,
Badari Gurjar ki,,,27.259868,76.19105,
Kali paal wala bandh,,,27.251818,76.203734,
Chhoti talai,,,27.250873,76.206322,
Parala bandh,,,27.254931,76.204674,
Badari Gurjar ki,,,27.26109,76.191859,
Ram talai,,,27.273523,76.193997,
School wali Johadi,,,27.28776,76.197572,
Hari singh ka anicut(Aama ka veda me),,,27.275682,76.216574,
Gooyali Johadi(Ghati tala ki Johadi),,,27.281396,76.211375,
Kheeraki ka anicut,,,27.283306,76.212449,
Nhabali Johadi,,,27.282087,76.215055,
Dholaki wala bandh,,,27.283952,76.21492,
"Harsahay,Chhintar, Ramlal ki medbandi",,,27.287043,76.203671,
"Shravan,Ramsahay",,,27.290163,76.204559,
Kishana khatana ki,,,27.295268,76.206323,
Chabutara wali Johadi(Sattala me),,,27.299079,76.214614,
"Ramkishan,Jairam Bhopa ki medbandi",,,27.299344,76.206321,
"Rampal, Chhaju ki medbandi(Pirala me)",,,27.300044,76.199783,
"Bhainru ,Nathu ki medbandi(Pirala me)",,,27.29994,76.198806,
Shmashan wali Johadi,,,27.294325,76.199277,
Harsahay ka anicut,,,27.294095,76.200589,
Sadhooram ki medbandi,,,27.294053,76.157194,
Rojha wali johadi,,,27.222997,76.090621,
Kishana ji ki (dabali wale khet ki medbandi),,,27.200745,76.107175,
Khainta wala anicut,,,27.23749,76.146646,
Ram talai,,,27.206194,76.144853,
Nal ki Johadi,,,27.206949,76.131162,
Balai wali talai,,,27.190462,76.158135,
Sankada wala Bandh(teja gurjatr ka),,,27.168467,76.132504,
Sankada wala Bandh(teja gurjatr ka),,,27.173199,76.13484,
Badi wala anicut,,,27.172326,76.132102,
Ghasi ka anicut,,,27.187287,76.140001,
Kundyali ka anicut,,,27.184806,76.131725,
Jaid wala bandh,,,27.178022,76.12453,
Hanuman ki medbandi-2,,,27.176509,76.123656,
Rojha wali johadi,,,27.169018,76.101981,
Rojha wali johadi,,,27.169005,76.102566,
Devee tala ki talai,,,27.166771,76.112693,
Kundalya ka anicut (Ninjhar ki ghati me),,,27.136296,76.142293,
Gopal sharma ka anicut,,,27.100847,76.116434,
Bendadi wala bandh(Lkshaman gurjar ka),,,27.326504,76.186283,
Bandadi wali chhoti johadi(Neechli),,,27.320996,76.189049,
Bandadi wali badi johadi(Upari),,,27.321683,76.189012,
Kanaram ka taila Bandh,,,27.319463,76.206376,
"Harsahay,Chhitara, Ramlal,Bhagawana ki medbandi",,,27.322622,76.203955,
Thakuron wala bandh(Boeya kua ka),,,27.30911,76.204165,
Sankada wala Bandh,,,27.304503,76.212014,
Jwaryali Johadi (Chandela ki dhani me),,,27.328635,76.224438,
madho sagar bandh,,,26.8424,76.650123,
Thanwar Dam,,,22.589688,80.063951,
Murga Tola Dam,,,22.456984,80.309142,
Maneri dam,,,23.104673,80.203961,
Khandari Reservoir,,,23.165623,80.018755,
Bargi Dam,,,22.939925,79.921665,
Maharaji,,,26.344225,86.447733,
Pakka Pokhara,,,26.772906,83.072183,
Sawra Kuddu Dam,Pabbar,3310.0,31.132655,77.749725,0.000692
Jataun Dam,Giri,3286.0,30.58712,77.46829,0.000299
Ichari Dam,Tons,3319.0,30.613907,77.791269,0.000676
Dakpathar Barrage,Yamuna,3324.0,30.503563,77.795312,0.000187
Lakhwar Dam,Yamuna,3320.0,30.520797,77.915237,0.00018
Naitwar Mori Hydro Power Station,Tons,3311.0,31.063022,78.097504,0.000366
Singoli Bhatwari Dam,Mandakini,4210.0,30.50616,79.087938,4.8e-05
Phata Byung,Mandakini,4208.0,30.626879,79.005035,0.006796
Satpula Dam,,,28.531709,77.223583,
Okhla Barrage,Yamuna,3264.0,28.545663,77.310999,0.002949
Okhla Barrage,Yamuna,3264.0,28.547142,77.313482,0.000148
Surajkund,,,28.483754,77.28296,
Hanuman Sagar Lake,,,26.99012,75.847078,
Bhimgoda Barrage,Ganga,3918.0,29.956771,78.180248,0.001129
Gomti Barrage,Gomti,4019.0,26.855528,80.969515,6.9e-05
Kathauta Lake,,,26.867565,81.031439,
Kathauta Lake,,,26.857265,81.032348,
Square Lake,,,28.312818,77.150189,
Misty Lake,,,28.33146,77.157559,
Kaliasot Lake,Ajmar,4191.0,23.198309,77.392603,0.001122
Dhauliganga Dam,Darma Yankti,4803.0,29.979228,80.568734,0.001188
Dhauliganga dam,Darma Yankti,4803.0,29.978837,80.572991,8.7e-05
Nine springs of Naini Mata,,,30.166417,79.433368,
Rajwakti Hydro Power Project,Nandakini,4242.0,30.307278,79.349353,0.000289
Shrinagar Dam,Alaknanda,4212.0,30.240387,78.831533,0.000863
Gandhi Sagar,Chambal,3607.0,24.46424,75.521619,0.000504
מאגר מים,,,24.721152,75.941159,
Rana Pratap Sagar,Chambal,3615.0,24.791707,75.551391,0.012957
Rana Pratap Sagar Dam,Chambal,3615.0,24.917967,75.58266,0.002211
Lipri Reservoir,,,23.940009,80.245286,
Haldwani Barrage,Gaula,3842.0,29.271378,79.547861,0.000538
Haripura Reservoir,,,29.134688,79.281317,
Haripura Dam,,,29.132031,79.259709,
RIVER PADAM,,,27.32312,78.66723,
Kota Bandh,Son,4613.0,24.451993,83.109456,0.012324
Rihand Dam,Rihand,4340.0,24.203026,83.006926,0.001674
Indrapuri Barrage,Son,4411.0,24.834382,84.13697,0.003598
Hanuman Tal,,,23.348262,75.021142,
