name,state,address,local_river,river_name,seg_id,dist_deg,latitude,longitude,half_m,dam_length_m,capacity_m3,capacity_mcm,reservoir_area_m2,effective_storage_m3,osm_name
Baranadi Dam,Jharkhand,"Baranadi. River, Dumka, Jharkhand",Baranadi,,,,24.1178,87.4003,19.51,221.0,5640000.0,5.64,2110000,4555000.0,
Kairabani Dam,Jharkhand,"Dararika. River, Dumka, Jharkhand",Dararika,,,,24.1697,87.44,18.59,295.66,3550000.0,3.55,550000,3260000.0,
Temarain Dam,Jharkhand,"Temarain. River, Daltonganj, Jharkhand",Temarain,,,,23.9981,84.0031,12.8,503.05,1300000.0,1.3,340000,1220000.0,
Sunder Dam,Jharkhand,"Sunder. River, Godda, Jharkhand",Sunder,,,,24.9436,87.3908,35.67,1555.0,30890000.0,30.89,4970000,21623000.0,
Dhankai Dam,Jharkhand,"Dhankai. River, Daltonganj, Jharkhand",Dhankai,,,,24.2233,83.9564,10.55,811.0,855400.0,0.855,248575,790000.0,
Left Banki Dam,Jharkhand,"Left Banki. River, Garhwa, Jharkhand",Left Banki,,,,24.2306,83.4772,14.32,1500.0,5074300.0,5.074,474990,4749700.0,
Chatania Ghat Dam,Jharkhand,"Kuljhiri Nala. River, Garhwa, Jharkhand",Kuljhiri Nala,Panda,4612.0,0.015521,24.4508,83.5644,19.82,365.85,1680000.0,1.68,310000,1176000.0,
Buksa Dam,Jharkhand,"Buksa. River, Chatra, Jharkhand",Buksa,,,,24.2628,85.1553,18.78,2667.67,12340000.0,12.34,3160000,11110000.0,
Hiroo Dam,Jharkhand,"Hiroo. River, Chatra, Jharkhand",Hiroo,,,,24.1492,84.9339,18.3,971.0,6232000.0,6.232,1123810,5345000.0,
Pandarwa Dam,Jharkhand,"Pandarwa. River, Garhwa, Jharkhand",Pandarwa,,,,24.3161,83.4292,21.8,193.6,3814100.0,3.814,1070000,3530200.0,
Butan-Duba Dam,Jharkhand,"Butan-Duba. River, Daltonganj, Jharkhand",Butan-Duba,,,,23.9503,84.0864,22.56,365.85,3480000.0,3.48,630000,3248700.0,
Chirka Dam,Jharkhand,"Dhengura River, Garhwa, Jharkhand",Dhengura,,,,24.0083,83.6306,22.13,1046.34,6171600.0,6.172,1190000,5680300.0,
Danro Dam,Jharkhand,"Danro. River, Garhwa, Jharkhand",Danro,,,,24.0271,83.5543,22.38,1372.0,17218800.0,17.219,3360000,14811800.0,
Malay Dam,Jharkhand,"North Koel River, Daltonganj, Jharkhand",North Koel,,,,23.9186,84.2831,28.8,1714.2,,,3460000,,
Anraj Dam,Jharkhand,"Anraj. River, Garhwa, Jharkhand",Anraj,,,,24.0653,84.8181,27.74,731.71,30426100.0,30.426,3440000,26908300.0,
Babhani Khand Dam,Jharkhand,"Banki River, Garhwa, Jharkhand",Banki,,,,24.3014,83.5136,13.1,822.96,2314300.0,2.314,143631,2156400.0,
Sudhari Nala Dam,Jharkhand,"Sudhari Nala. River, Chatra, Jharkhand",Sudhari Nala,,,,24.3428,84.8786,16.46,396.34,1380000.0,1.38,44174,1110000.0,
Amanat Dam,Jharkhand,"Amanat. River, Daltonganj, Jharkhand",Amanat,Amanat,4593.0,0.001014,24.0075,84.5544,41.0,869.0,107190000.0,107.19,2100000,81450000.0,
Burhi Dam,Jharkhand,"Pathro River, Deoghar, Jharkhand",Pathro,,,,24.3572,86.5414,29.23,5760.0,249228571.0,249.229,71807,174460000.0,
Kanhar Dam,Jharkhand,"Kanhar River, Garhwa, Jharkhand",Kanhar,Kanhar,4611.0,0.000118,24.1228,83.2968,42.98,,574000000.0,574.0,435304,522000000.0,
Punasi Dam,Jharkhand,"Ajay River, Deoghar, Jharkhand",Ajay,,,,24.4783,86.5356,21.54,2133.6,149800000.0,149.8,24180000,113500000.0,
Tahlay Dam,Jharkhand,"Tahlay River, Daltonganj, Jharkhand",Tahlay,Tahle,4597.0,0.001367,24.0436,83.9578,15.0,,190000000.0,190.0,9274,153700000.0,
Torai Dam,Jharkhand,"Torai River, Pakur, Jharkhand",Torai,,,,24.6567,87.6172,24.4,647.7,248000000.0,248.0,4450000,21100000.0,
Batane Dam,Jharkhand,"Batare. River, Daltonganj, Jharkhand",Batare,,,,24.4275,84.2603,24.08,2012.2,678700000.0,678.7,13360000,59970000.0,
North Koel Dam,Jharkhand,"North Koel River, Garhwa, Jharkhand",North Koel,Batane,4543.0,0.000183,24.6044,84.2869,67.86,343.0,702000000.0,702.0,71200000,541500000.0,
Tekanpur Dam,Madhya Pradesh,"Chhachhundar Nadi River, Dabra, Madhya Pradesh",Chhachhundar Nadi,,,,26.005,78.2869,16.47,975.0,8293000.0,8.293,2780000,7438000.0,
Sarra Dam,Madhya Pradesh,"Katni River, Mairwara, Madhya Pradesh",Katni,,,,23.7458,80.4778,13.4,743.71,3378000.0,3.378,1010000,2763000.0,
Jawahargarh Dam,Madhya Pradesh,"Chamberi River, Sabalgarh, Madhya Pradesh",Chamberi,,,,26.1356,77.3083,10.67,1052.0,3823000.0,3.823,2183000,3433000.0,
