name,state,address,local_river,river_name,seg_id,dist_deg,latitude,longitude,half_m,dam_length_m,capacity_m3,capacity_mcm,reservoir_area_m2,effective_storage_m3,osm_name
Tehraka Dam,Madhya Pradesh,"Naina Nadi River, Nivari, Madhya Pradesh",Naina Nadi,,,,25.2881,78.9067,12.08,1860.0,5350000.0,5.35,725773,4790000.0,
Nagda Nalla Dam,Madhya Pradesh,"Nagda Nalla River, Tikamgarh, Madhya Pradesh",Nagda Nalla,,,,23.645,78.845,27.24,2866.0,1845000.0,1.845,6780000,1698000.0,
Bhitrigarh Dam,Madhya Pradesh,"Niwar River, Sihora, Madhya Pradesh",Niwar,,,,23.6247,80.4164,19.4,259.0,5250000.0,5.25,1090000,5022000.0,
Ratapani Dam,Madhya Pradesh,"Godmedi River, Goharganj, Madhya Pradesh",Godmedi,,,,22.95,77.6992,20.11,439.0,15146000.0,15.146,2930000,14580000.0,
Loni Dam,Madhya Pradesh,"Loni River, Teontha, Madhya Pradesh",Loni,,,,25.1381,81.5667,11.38,2379.0,4750000.0,4.75,1505678,3800000.0,
Geolari Dam,Madhya Pradesh,"Kalidoha Nadi River, Bijawar, Madhya Pradesh",Kalidoha Nadi,,,,24.2781,79.2356,19.44,579.0,1529000.0,1.529,319000,1435000.0,
Sidhi Dam,Madhya Pradesh,"Hirun River, Gopad Banas, Madhya Pradesh",Hirun,,,,24.36,81.8892,45.5,233.0,6863000.0,6.863,1020000,6367000.0,
Piploda Dam,Madhya Pradesh,"Piprada Nalla River, Pohri, Madhya Pradesh",Piprada Nalla,,,,25.7933,77.5014,21.03,580.18,4758000.0,4.758,1050000,4320000.0,
Sendpa Dam,Madhya Pradesh,"Gurda Nala River, Bijawar, Madhya Pradesh",Gurda Nala,,,,24.6089,79.3347,15.85,442.0,7950000.0,7.95,1741000,7470000.0,
Datla Dam,Madhya Pradesh,"Local River, Katni, Madhya Pradesh",Local,,,,23.7486,80.5689,36.18,408.4,7550000.0,7.55,2208000,7290000.0,
Semrakudri Dam,Madhya Pradesh,"Laipri Nala River, Murwara, Madhya Pradesh",Laipri Nala,,,,23.9719,80.18,10.66,1037.0,1610000.0,1.61,263431,680000.0,
Madan Sagar Dam,Madhya Pradesh,"Kulwara Nala River, Tikamgarh, Madhya Pradesh",Kulwara Nala,,,,25.7408,78.9986,18.28,960.0,12850000.0,12.85,2012354,12230000.0,
Kulwa Dam,Madhya Pradesh,"Local River, Hata, Madhya Pradesh",Local,,,,23.915,79.8197,10.76,585.0,620000.0,0.62,225000,551000.0,
Chhapari Dam,Madhya Pradesh,"Mod Nadi River, Sihora, Madhya Pradesh",Mod Nadi,,,,23.7003,79.9492,12.97,1219.0,1400000.0,1.4,234877,1273000.0,
Dumduma Dam,Madhya Pradesh,"Local River, Nivari, Madhya Pradesh",Local,,,,25.2456,78.7711,24.49,990.0,4160000.0,4.16,250831,1919000.0,
Makhani Dam,Madhya Pradesh,"Local River, Raisen, Madhya Pradesh",Local,Betwa,4194.0,0.018427,23.3911,77.7419,10.05,296.0,1000000.0,1.0,273000,939000.0,
Jawari Dam,Madhya Pradesh,"Jawari River, Sironj, Madhya Pradesh",Jawari,,,,24.0725,77.6728,12.0,450.0,1160000.0,1.16,357000,1059000.0,
Kasturipura Dam,Madhya Pradesh,"Local River, Rajgarh, Madhya Pradesh",Local,Ghora Pachhar,3589.0,0.008329,24.0594,76.9522,11.89,1051.56,999000.0,0.999,372000,932000.0,
Gwal Sagar Dam,Madhya Pradesh,"Local River, Tikamgarh, Madhya Pradesh",Local,,,,24.75,79.0631,20.73,137.0,10248000.0,10.248,2816000,10248000.0,
Anoo Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.8317,79.5264,14.3,667.5,820000.0,0.82,159447,753000.0,
Barana Bamori Dam,Madhya Pradesh,"Local River, Jatara, Madhya Pradesh",Local,,,,25.0522,78.8192,11.9,780.0,1072000.0,1.072,1028762,686000.0,
Balwantpura Dam,Madhya Pradesh,"Local River, Tikamgarh, Madhya Pradesh",Local,,,,24.8383,79.0814,12.05,681.0,1732000.0,1.732,196888,1212400.0,
Jajone Dam,Madhya Pradesh,"Local River, Basoda, Madhya Pradesh",Local,,,,23.9156,78.1514,18.6,480.0,6880000.0,6.88,22590000,6331000.0,
Khurera Dam,Madhya Pradesh,"Burun Nala River, Tikamgarh, Madhya Pradesh",Burun Nala,,,,24.6692,79.1603,17.01,330.0,2666000.0,2.666,1074000,2398000.0,
Moonjwar Dam,Madhya Pradesh,"Local River, Shivpuri, Madhya Pradesh",Local,,,,25.8019,77.7192,13.71,810.0,5870000.0,5.87,1403920,5636000.0,
Burha Dam,Madhya Pradesh,"Burha River, Chhatarpur, Madhya Pradesh",Burha,,,,24.8392,79.6383,15.84,1410.0,10850000.0,10.85,4391000,10377000.0,
Bhonhari Dam,Madhya Pradesh,"Local River, Sagar, Madhya Pradesh",Local,,,,23.8222,78.9194,16.46,767.0,886000.0,0.886,150807,781000.0,
Kakarhai Dam,Madhya Pradesh,"Local River, Panna, Madhya Pradesh",Local,,,,24.4749,80.258,12.67,1440.0,618000.0,0.618,349022,564000.0,
Kanhaiya Dam,Madhya Pradesh,"Local River, Mauganj, Madhya Pradesh",Local,,,,24.5753,81.79,15.52,1200.0,1037000.0,1.037,322785,975000.0,
Padar Dam,Madhya Pradesh,"Local River, Mauganj, Madhya Pradesh",Local,,,,24.6081,81.8239,10.7,1509.0,1285000.0,1.285,408972,1200000.0,
Basia Feeder Dam,Madhya Pradesh,"Local River, Nowgaon, Madhya Pradesh",Local,,,,24.8797,79.0453,11.79,1440.0,1054000.0,1.054,926120,979000.0,
Madan Sagar Dam,Madhya Pradesh,"Ghatprabha River, Sambalpur, Madhya Pradesh",Ghatprabha,,,,25.0092,79.0386,10.7,1158.0,2580000.0,2.58,1801534,2440000.0,
Veer Sagar Dam,Madhya Pradesh,"Local River, Nivari, Madhya Pradesh",Local,,,,25.1864,78.6958,26.83,420.0,26150000.0,26.15,1209959,14460000.0,
Bankuiya Dam,Madhya Pradesh,"Local River, Muzur, Madhya Pradesh",Local,,,,24.5981,81.1875,10.45,1320.0,1290000.0,1.29,820000,1200000.0,
Chhaya Sagar Dam,Madhya Pradesh,"Local River, Satna, Madhya Pradesh",Local,,,,24.3078,81.1311,10.7,858.0,444000.0,0.444,180000,388000.0,
Jamuniya Rao Dam,Madhya Pradesh,"Local River, N Garh, Madhya Pradesh",Local,,,,23.6164,77.0208,10.05,1007.28,776000.0,0.776,300000,749000.0,
Bakiya Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,23.9761,81.9844,21.0,630.0,3718000.0,3.718,506000,3478000.0,
Kacheri Feeder Dam,Madhya Pradesh,"Local River, Bijawar, Madhya Pradesh",Local,,,,24.4378,79.3083,10.96,178.0,1105000.0,1.105,523000,975000.0,
Virhana Dam,Madhya Pradesh,"Local River, Satna, Madhya Pradesh",Local,Satna,4070.0,0.00345,24.6953,81.1506,18.3,762.0,3029000.0,3.029,920000,2879000.0,
Mauganj Dam,Madhya Pradesh,"Gora Nalla River, Mauganj, Madhya Pradesh",Gora Nalla,,,,24.6614,81.9178,17.72,1463.0,3819000.0,3.819,1396000,3400000.0,
Banchor Dam,Madhya Pradesh,"Arialkha River, Raisen, Madhya Pradesh",Arialkha,,,,23.2164,77.7636,19.65,310.0,7644000.0,7.644,1635000,7219000.0,
Kulgari Dam,Madhya Pradesh,"Durha River, Satna, Madhya Pradesh",Durha,,,,24.4769,80.7303,18.59,1437.0,9400000.0,9.4,1750000,8761000.0,
Budwa Dam,Madhya Pradesh,"Local River, Beohaei, Madhya Pradesh",Local,,,,24.1839,81.4167,30.45,558.0,9220000.0,9.22,2030000,8610000.0,
Chhapi Dam,Madhya Pradesh,"Chhapi River, Khilchipur, Madhya Pradesh",Chhapi,,,,24.0108,76.3819,17.08,1829.0,15740000.0,15.74,4825000,13530000.0,
Chhilar Dam,Madhya Pradesh,"Chiller River, Shajapur, Madhya Pradesh",Chiller,,,,23.3833,76.3,30.48,2866.0,34790000.0,34.79,8460000,31110000.0,
Dharam Sagar Dam,Madhya Pradesh,"Local River, Jatara, Madhya Pradesh",Local,,,,25.0325,79.1389,13.71,300.0,12090000.0,12.09,2127187,11890000.0,
Sarro Dam,Madhya Pradesh,"Dhonnai River, Gopad Banas, Madhya Pradesh",Dhonnai,,,,24.3656,82.0361,22.62,120.0,2780000.0,2.78,578000,2600000.0,
Akhajhiri Dam,Madhya Pradesh,"Akhajhiri Nalla River, Pichhor, Madhya Pradesh",Akhajhiri Nalla,,,,25.0344,77.8911,15.4,2055.0,11710000.0,11.71,4310000,9870000.0,
Koncha Dam,Madhya Pradesh,"Koncha River, Mungawali, Madhya Pradesh",Koncha,,,,24.3333,77.8544,29.87,3169.93,21650000.0,21.65,5380000,18810000.0,
Bila Dam,Madhya Pradesh,"Bilasi. River, Banda.., Madhya Pradesh",Bilasi,,,,24.2608,79.0283,30.02,1432.56,55700000.0,55.7,10740000,51980000.0,
Rajendra Sagar Dam,Madhya Pradesh,"Local River, Tikamgarh, Madhya Pradesh",Local,,,,24.6439,78.8614,14.02,2724.0,18460000.0,18.46,4597363,16990000.0,
Pondi Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,24.2853,82.0,15.34,488.0,2583000.0,2.583,120000,2423000.0,
Burlai Dam,Madhya Pradesh,"Local River, Shajapur, Madhya Pradesh",Local,,,,23.6544,76.2628,20.72,821.6,2860000.0,2.86,673000,2426000.0,
Madhwani (Ncfl) Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,24.2314,81.3178,15.43,438.0,3144000.0,3.144,790000,2727000.0,
Belha Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,24.1806,81.6617,23.77,312.0,36510000.0,36.51,975000,3396000.0,
Beniganj Dam,Madhya Pradesh,"Beni River, Chhatarpur, Madhya Pradesh",Beni,,,,24.7622,79.8786,22.3,3000.0,27580000.0,27.58,7620000,26220000.0,
Bandri Dam,Madhya Pradesh,"Local River, Sambalpur, Madhya Pradesh",Local,,,,24.0317,78.6181,12.0,1048.0,,,108742,,
Kankarpura Dam,Madhya Pradesh,"Local River, Mhow, Madhya Pradesh",Local,,,,22.5736,75.7275,10.67,810.0,623000.0,0.623,220000,583000.0,
Barodia Dam,Madhya Pradesh,"Local River, N Garh, Madhya Pradesh",Local,,,,23.6531,77.0444,12.19,2506.0,6223000.0,6.223,238000,5827000.0,
Nibuha Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,24.3625,82.0789,20.42,82.0,1789000.0,1.789,255000,1636000.0,
Fatehpur Dam,Madhya Pradesh,"Local River, Khilchipur, Madhya Pradesh",Local,,,,24.0361,76.4764,17.1,640.0,808000.0,0.808,257000,736000.0,
Amua Dam,Madhya Pradesh,"Local River, Amarpalan, Madhya Pradesh",Local,,,,24.3392,80.3322,10.36,811.0,1121000.0,1.121,349000,1001000.0,
Bisonia Dam,Madhya Pradesh,"Jwari Nadi River, Sironj, Madhya Pradesh",Jwari Nadi,,,,24.2708,77.7256,12.19,549.0,2094000.0,2.094,607000,1921000.0,
Bamraha Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,Gopat,4331.0,0.0,24.0078,81.9303,14.0,298.0,4199000.0,4.199,761000,3954000.0,
Karmodia Dam,Madhya Pradesh,"Barna River, Raisen, Madhya Pradesh",Barna,,,,23.2778,77.7906,16.06,286.5,5288000.0,5.288,770000,4558000.0,
Atari Dam,Madhya Pradesh,"Gora Nalla River, Mauganj, Madhya Pradesh",Gora Nalla,,,,24.6281,81.9344,19.15,720.0,2265000.0,2.265,929000,1982000.0,
Bagha Nalla Dam,Madhya Pradesh,"Local River, Chhatarpur, Madhya Pradesh",Local,,,,24.6419,79.4611,10.82,1220.0,2323000.0,2.323,971000,2150000.0,
Amjhari Dam,Madhya Pradesh,"Local River, Gopad Banas, Madhya Pradesh",Local,,,,24.2425,81.6475,16.56,356.0,1345000.0,1.345,2170000,1246000.0,
Devendra Sagar Dam,Madhya Pradesh,"Sukta Nalla River, Panna, Madhya Pradesh",Sukta Nalla,,,,24.6375,80.36,18.0,3513.0,12850000.0,12.85,2460000,12080000.0,
Kethan Dam,Madhya Pradesh,"Kethan River, Sironj, Madhya Pradesh",Kethan,,,,24.095,77.6664,25.36,900.0,19157000.0,19.157,3690000,17574000.0,
S. Ashok Sagar Dam,Madhya Pradesh,"Halali River, Vidisha, Madhya Pradesh",Halali,Halali,4192.0,0.000424,23.5017,77.5511,29.56,945.0,25270000.0,25.27,52590000,22700000.0,
Hatupur Dam,Madhya Pradesh,"Local River, Panna, Madhya Pradesh",Local,,,,24.7864,80.4367,12.8,705.0,1240000.0,1.24,244244,1073000.0,
Jamunhai Dam,Madhya Pradesh,"Local River, Panna, Madhya Pradesh",Local,,,,24.6814,80.3058,16.02,1185.0,897000.0,0.897,350286,820000.0,
Asrar Dam,Madhya Pradesh,"Local River, Satna, Madhya Pradesh",Local,,,,23.9917,80.2542,10.5,1170.0,696000.0,0.696,192000,649000.0,
Deopur Dam,Madhya Pradesh,"Local River, Khilchipur, Madhya Pradesh",Local,,,,24.1511,77.6161,15.86,381.0,943000.0,0.943,229000,866000.0,
Ratheli Dam,Madhya Pradesh,"Local River, Bandhogarh, Madhya Pradesh",Local,,,,23.5039,80.9256,18.17,1290.0,950000.0,0.95,333000,916000.0,
Barkhedi Dam,Madhya Pradesh,"Sewan River, Sehore, Madhya Pradesh",Sewan,,,,23.1564,77.1239,18.18,792.68,1250000.0,1.25,347000,1158000.0,
Chiraha Dam,Madhya Pradesh,"Local River, Pawai, Madhya Pradesh",Local,,,,24.2711,80.1997,15.46,533.0,1245000.0,1.245,379000,1145000.0,
Sapahi Dam,Madhya Pradesh,"Local River, Gopad Banas, Madhya Pradesh",Local,,,,24.4097,82.0492,17.68,228.0,2200000.0,2.2,383000,2077000.0,
Chita Nalla Dam,Madhya Pradesh,"Local River, Tikamgarh, Madhya Pradesh",Local,,,,25.1267,78.9042,15.71,750.0,1033000.0,1.033,418000,893000.0,
Dhantoli Dam,Madhya Pradesh,"Local River, Dhar, Madhya Pradesh",Local,,,,22.7044,75.6556,14.89,450.0,2410000.0,2.41,558330,1700000.0,
Mau Dam,Madhya Pradesh,"Local River, Beohari, Madhya Pradesh",Local,,,,24.0592,81.3789,15.18,690.0,2089000.0,2.089,985000,1734000.0,
Latar Dam,Madhya Pradesh,"Magrani River, Anuppur, Madhya Pradesh",Magrani,,,,23.1444,81.9125,15.09,1380.0,3080000.0,3.08,1132880,2722000.0,
Kishanpura Dam,Madhya Pradesh,"Nulukhi Nala River, Depalpur, Madhya Pradesh",Nulukhi Nala,,,,22.6714,75.6503,13.3,950.0,2493000.0,2.493,1150000,2158000.0,
Ashok Nagar (Tulsi Sarovar) Dam,Madhya Pradesh,"Local River, Ashok Ngr., Madhya Pradesh",Local,,,,24.5833,77.7408,11.8,911.35,1593000.0,1.593,1181000,1206000.0,
Kerwan Dam,Madhya Pradesh,"Kerwan River, Huzur, Madhya Pradesh",Kerwan,,,,23.165,77.3711,22.6,396.5,25026000.0,25.026,4824000,22600000.0,
Simariya No.1 Dam,Madhya Pradesh,"Jamdiaro Nala River, Dabra, Madhya Pradesh",Jamdiaro Nala,,,,25.9911,77.9958,14.17,2610.0,4308000.0,4.308,9710000,4150000.0,
Ragura Dam,Madhya Pradesh,"Local River, Tikamgarh, Madhya Pradesh",Local,,,,24.7422,78.8147,12.05,1189.0,2840000.0,2.84,193327,2590000.0,
Nagda Dam,Madhya Pradesh,"Shipra River, Dewas, Madhya Pradesh",Shipra,,,,22.9083,76.0583,17.68,1590.0,2586000.0,2.586,80000,2328000.0,
Khitoli Dam,Madhya Pradesh,"Local River, Murwara, Madhya Pradesh",Local,,,,23.7025,80.8403,13.88,686.0,1600000.0,1.6,356000,1588000.0,
Rampa Dam,Madhya Pradesh,"Local River, Singrauli, Madhya Pradesh",Local,Mayar,4336.0,0.018718,23.9669,82.5017,15.83,990.0,1028000.0,1.028,435000,1000000.0,
Pondi Dam,Madhya Pradesh,"Local River, Javera, Madhya Pradesh",Local,Bearma,4290.0,1.7e-05,23.8286,79.6654,15.99,1128.0,3620000.0,3.62,648000,3130000.0,
Karhi Dam,Madhya Pradesh,"Kurali Nala River, Pawai, Madhya Pradesh",Kurali Nala,,,,24.2681,80.23,17.38,540.0,4760000.0,4.76,736000,4528000.0,
Somla Dam,Madhya Pradesh,"Local River, Karera, Madhya Pradesh",Local,,,,23.7831,78.6892,18.58,652.0,1630000.0,1.63,940000,1427000.0,
Datia Dam,Madhya Pradesh,"Kakli Nala River, Hata, Madhya Pradesh",Kakli Nala,,,,23.9339,79.6397,19.45,75.0,2700000.0,2.7,1120000,2440000.0,
Umargarh Dam,Madhya Pradesh,"Local River, Shahdol, Madhya Pradesh",Local,,,,24.0242,81.1642,26.85,180.0,900000.0,0.9,207000,,
Hirawar Dam,Madhya Pradesh,"Local River, Shahdol, Madhya Pradesh",Local,,,,24.0564,81.0942,13.14,575.0,1060000.0,1.06,376000,994100.0,
Kheria Punawali Dam,Madhya Pradesh,"Bahora Nala River, Karera, Madhya Pradesh",Bahora Nala,,,,25.4389,78.2681,10.82,1067.0,1800000.0,1.8,1000000,,
Bardha Dam,Madhya Pradesh,"Local River, Vidisha, Madhya Pradesh",Local,,,,23.8506,77.6061,11.0,1035.0,3010000.0,3.01,1078000,2813000.0,
Johila Dam,Madhya Pradesh,"Johila River, Anuppur, Madhya Pradesh",Johila,,,,22.7806,81.7408,30.28,1234.7,8530000.0,8.53,1420000,8000000.0,
Amrabad Dam,Madhya Pradesh,"Local River, Raisen, Madhya Pradesh",Local,,,,23.3036,77.8858,16.46,894.0,2650000.0,2.65,1466000,2480000.0,
Mansurwari Dam,Madhya Pradesh,"Sukchain Nalla River, Rehli, Madhya Pradesh",Sukchain Nalla,,,,23.4214,78.9731,24.58,945.0,13280000.0,13.28,1800000,12160000.0,
Bhaisawar Dam,Madhya Pradesh,"Khatiari River, Satna, Madhya Pradesh",Khatiari,,,,24.8164,80.7056,16.92,2165.0,9980000.0,9.98,1980000,9388000.0,
Kazikhedi Dam,Madhya Pradesh,"Kharkhara River, Ujjain, Madhya Pradesh",Kharkhara,,,,23.4925,75.6889,22.78,1419.0,7547000.0,7.547,6854000,6862000.0,
Imalia Dam,Madhya Pradesh,"Local River, Katni, Madhya Pradesh",Local,,,,23.9925,80.1875,10.28,899.0,616000.0,0.616,244000,518000.0,
Chitron Dam,Madhya Pradesh,"Local River, Shahdol, Madhya Pradesh",Local,,,,23.7319,81.4975,16.6,480.0,1110000.0,1.11,306460,932000.0,
Chikhali Dam,Madhya Pradesh,"Local River, Bhainsdehi, Madhya Pradesh",Local,,,,22.9492,77.5917,19.2,160.0,1682000.0,1.682,335000,1531000.0,
Sher Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,24.1642,81.82,17.0,180.0,3270000.0,3.27,506000,2997000.0,
Gyaraspura Dam,Madhya Pradesh,"Local River, Sehore, Madhya Pradesh",Local,,,,23.4342,77.1733,12.8,1127.76,3164000.0,3.164,787800,3114000.0,
Hedapura Dam,Madhya Pradesh,"Local River, N Garh, Madhya Pradesh",Local,,,,23.755,77.1211,13.8,953.0,2134000.0,2.134,862000,2060000.0,
Basni Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.7628,79.3575,15.0,676.0,857000.0,0.857,1030000,793000.0,
Putliwar Dam,Madhya Pradesh,"Pihutiwar Nadi River, Shivpuri, Madhya Pradesh",Pihutiwar Nadi,,,,25.1508,78.1725,13.51,129.57,5250000.0,5.25,1494400,4950000.0,
Gonda Dam,Madhya Pradesh,"Local River, Nagod, Madhya Pradesh",Local,,,,24.7528,80.5136,11.0,823.0,480000.0,0.48,1620000,387000.0,
Bhaisakhedi Dam,Madhya Pradesh,"Kalisindh River, Ujjain, Madhya Pradesh",Kalisindh,,,,23.41,75.9469,17.72,1275.0,7560000.0,7.56,2510000,5110000.0,
Kanchan Dam,Madhya Pradesh,"Kancham River, Sidhi, Madhya Pradesh",Kancham,,,,24.1547,82.4531,,,,,2241561,,
Chhapani Dam,Madhya Pradesh,"Local River, Pushprajgarh, Madhya Pradesh",Local,,,,22.8828,81.5978,18.78,645.0,495000.0,0.495,140000,420000.0,
Gadaghat Dam,Madhya Pradesh,"Local River, Hatta, Madhya Pradesh",Local,,,,23.8075,79.8225,16.78,450.0,710000.0,0.71,240000,660000.0,
Buchki Dam,Madhya Pradesh,"Local River, Shahdol, Madhya Pradesh",Local,Johilla,4373.0,0.00558,23.5075,81.1639,17.15,432.0,960000.0,0.96,242000,875000.0,
Ambabarod Dam,Madhya Pradesh,"Local River, Agar, Madhya Pradesh",Local,,,,23.8397,75.4461,17.84,289.156,1017000.0,1.017,277000,911000.0,
Moliyakhedi Dam,Madhya Pradesh,"Local River, Susner, Madhya Pradesh",Local,Lakundar,3595.0,0.008438,23.9164,76.25,12.25,930.0,565000.0,0.565,300000,499210.0,
Sidoli Dam,Madhya Pradesh,"Local River, Shahdol, Madhya Pradesh",Local,,,,23.1872,81.7131,11.0,930.0,4825000.0,4.825,450000,3377500.0,
Katkiya Dam,Madhya Pradesh,"Local River, Indore, Madhya Pradesh",Local,Gambhir,3655.0,0.000778,22.8822,75.6908,12.46,1966.5,567000.0,0.567,464800,534000.0,
Gopaldas Dam,Madhya Pradesh,"Local River, Sidhi, Madhya Pradesh",Local,,,,24.3939,81.8706,12.2,870.0,1646000.0,1.646,836000,1459000.0,
Koyalkhedi Dam,Madhya Pradesh,"Local River, Ujjain, Madhya Pradesh",Local,,,,23.4489,75.9194,13.1,960.0,2675000.0,2.675,951000,2360000.0,
Naktora Dam,Madhya Pradesh,"Amra River, Maihar, Madhya Pradesh",Amra,,,,24.3272,80.7081,14.8,1290.0,3495000.0,3.495,1071000,3001000.0,
Chapper Dam,Madhya Pradesh,"Local River, Ashta, Madhya Pradesh",Local,,,,22.9897,76.8019,14.1,743.9,3794000.0,3.794,1160000,3544000.0,
Naharkheda Dam,Madhya Pradesh,"Local River, Susner, Madhya Pradesh",Local,,,,23.9097,76.0564,11.4,1425.0,1694320.0,1.694,1424500,1497000.0,
Pipliyakumar Dam,Madhya Pradesh,"Ban Ganga River, Agar, Madhya Pradesh",Ban Ganga,,,,23.7211,76.1031,25.87,894.0,11210000.0,11.21,2632000,10120000.0,
Amiya Bahadurpur Dam,Madhya Pradesh,"Gandhi River, Mahidpur, Madhya Pradesh",Gandhi,,,,23.6528,75.6914,18.9,1859.0,25230000.0,25.23,8146000,22350000.0,
Makroda Dam,Madhya Pradesh,"Negri River, Guna, Madhya Pradesh",Negri,,,,24.7267,77.2722,30.5,825.39,46593000.0,46.593,8470000,40983000.0,
Paronch Dam,Madhya Pradesh,"Paronch River, Pichhor, Madhya Pradesh",Paronch,,,,25.2694,78.1008,22.7,243.84,18980000.0,18.98,343530000,15710000.0,
Dudiyankhera Dam,Madhya Pradesh,"Local River, Banda.., Madhya Pradesh",Local,,,,24.3353,79.0836,21.09,801.0,2600000.0,2.6,190950,2450000.0,
Chidua Dam,Madhya Pradesh,"Local River, Satna, Madhya Pradesh",Local,,,,24.7794,80.5933,12.0,1060.0,1450000.0,1.45,116000,1392000.0,
Kalrewa Dam,Madhya Pradesh,"Local River, Damoh, Madhya Pradesh",Local,,,,23.8036,79.4875,11.68,570.0,1360000.0,1.36,220000,1275000.0,
Deopur Dam,Madhya Pradesh,"Local River, Khilchipur, Madhya Pradesh",Local,,,,24.0444,76.4722,15.31,603.0,920000.0,0.92,281000,817000.0,
Pongri Dam,Madhya Pradesh,"Local River, Sohagpur, Madhya Pradesh",Local,,,,23.3169,81.4308,15.65,570.0,906000.0,0.906,295000,815000.0,
Amanpura Dam,Madhya Pradesh,"Local River, Sambalpur, Madhya Pradesh",Local,,,,24.0578,76.4794,14.33,490.0,1001000.0,1.001,317500,882000.0,
Chithara Dam,Madhya Pradesh,"Local River, Raghuraj Nagar, Madhya Pradesh",Local,,,,24.8761,80.8544,13.02,720.0,1462000.0,1.462,417000,1370000.0,
Harithone Dam,Madhya Pradesh,"Local River, Pichhor, Madhya Pradesh",Local,,,,24.9822,78.0022,12.19,732.0,1000000.0,1.0,460000,992900.0,
Parshukhedi Dam,Madhya Pradesh,"Local River, Agar, Madhya Pradesh",Local,,,,23.7114,76.0378,14.24,510.0,1370000.0,1.37,505600,1212000.0,
Ichhawar Dam,Madhya Pradesh,"Ajnal River, Ichhwar, Madhya Pradesh",Ajnal,,,,23.0033,77.0194,14.47,1890.0,2090000.0,2.09,650000,1840000.0,
Marhi Dam,Madhya Pradesh,"Semra Nadi River, Devsar, Madhya Pradesh",Semra Nadi,,,,24.3322,82.3586,29.0,285.0,14243000.0,14.243,1470000,12770000.0,
Belhara Dam,Madhya Pradesh,"Mod Nadi River, Damoh, Madhya Pradesh",Mod Nadi,Bearma,4285.0,0.018061,23.4672,79.5078,12.53,1188.0,3500000.0,3.5,915000,3320000.0,
Jamunia Dam,Madhya Pradesh,"Modar Nala River, Damoh, Madhya Pradesh",Modar Nala,,,,23.7517,79.4089,14.06,1740.0,4210000.0,4.21,1620000,3920000.0,
Sahibkhedi Dam,Madhya Pradesh,"Surasa River, Ujjain, Madhya Pradesh",Surasa,,,,23.2478,75.8264,17.72,3450.0,12460000.0,12.46,3980000,10320000.0,
Jarmora Dam,Madhya Pradesh,"Jarmora Nalla River, Sirmaur, Madhya Pradesh",Jarmora Nalla,,,,24.8686,81.1681,17.54,2130.0,18770000.0,18.77,5000000,17550000.0,
Naren Dam,Madhya Pradesh,"Naren River, Basoda, Madhya Pradesh",Naren,,,,24.0228,77.7561,29.85,3567.0,18820000.0,18.82,8217000,18328000.0,
Bhawanipur Dam,Madhya Pradesh,"Chipaha Nadi River, Panna, Madhya Pradesh",Chipaha Nadi,,,,24.8383,80.5778,12.93,1116.0,250000.0,0.25,411636,210000.0,
Amlabardia Dam,Madhya Pradesh,"Local River, Agar, Madhya Pradesh",Local,,,,23.8661,75.9019,16.6,175.5,441000.0,0.441,141700,389400.0,
Amkoi Dam,Madhya Pradesh,"Murgwa Nalla River, Nagod, Madhya Pradesh",Murgwa Nalla,,,,24.4428,80.4992,14.3,1680.0,6290000.0,6.29,147000,5615000.0,
Kuari Dam,Madhya Pradesh,"Local River, Satna, Madhya Pradesh",Local,Tons,4066.0,0.001099,25.0344,81.7275,10.0,1110.0,1198000.0,1.198,198000,1102000.0,
Semarwar Dam,Madhya Pradesh,"Paniha River, Anuppur, Madhya Pradesh",Paniha,,,,24.065,81.8156,21.1,150.0,779000.0,0.779,205800,708000.0,
Sawsara Dam,Madhya Pradesh,"Local River, Rajgarh, Madhya Pradesh",Local,Ghora Pachhar,3589.0,0.0132,24.0828,76.9178,15.32,555.0,1226000.0,1.226,276840,1179000.0,
Malavar Dam,Madhya Pradesh,"Local River, Biaora, Madhya Pradesh",Local,,,,23.8353,77.0589,11.58,762.0,1081000.0,1.081,290000,1006000.0,
Deori Dam,Madhya Pradesh,"Local River, Khilchipur, Madhya Pradesh",Local,,,,23.9956,76.4997,14.97,556.0,1109000.0,1.109,355000,986000.0,
Charkhari Dam,Madhya Pradesh,"Shadol River, Beohari, Madhya Pradesh",Shadol,,,,24.0642,81.4014,20.34,465.0,1400000.0,1.4,480000,1279000.0,
Surkhi Dam,Madhya Pradesh,"Local River, Sagar, Madhya Pradesh",Local,,,,23.6375,78.8075,20.33,1170.0,3830000.0,3.83,627000,3470000.0,
