river_name,n_segments,max_upstream_dams,mean_upstream_dams,max_capacity_mcm,n_drying,n_stable,n_wetting,mean_pct_change,median_pct_change,mean_tau,pct_drying
Bhillangana,2,0,0.0,0.0,0,2,0,4.599532072723532,4.599532072723532,0.07472613458528951,0.0
Bilas,1,1,1.0,28.9,0,1,0,11.735132486031604,11.735132486031604,0.0070422535211267,0.0
Bilrai,1,4,4.0,8.81,1,0,0,-18.03989928168851,-18.03989928168851,-0.1721439749608763,100.0
Bina,4,5,3.25,10.52,0,4,0,-4.066797229029789,-4.315828290112176,-0.0827464788732394,0.0
Bino,1,0,0.0,0.0,1,0,0,-29.33621864108232,-29.33621864108232,-0.310641627543036,100.0
Birahi Ganga,1,0,0.0,0.0,0,0,1,56.11183447061918,56.11183447061918,0.3161189358372457,0.0
Burha,1,0,0.0,0.0,1,0,0,-8.269497436832998,-8.269497436832998,-0.1815336463223787,100.0
Burhi Gandak,20,0,0.0,0.0,0,20,0,2.2003732779321403,1.4347145544100681,0.02938184663536773,0.0
Chakan,1,2,2.0,21.08,0,1,0,8.903485538618197,8.903485538618197,-0.0297339593114241,0.0
Chalak,1,0,0.0,0.0,0,1,0,2.139006966016098,2.139006966016098,-0.041471048513302,0.0
Chalki,1,0,0.0,0.0,0,1,0,-11.345352463541776,-11.345352463541776,-0.0594679186228482,0.0
Chambal,28,229,56.607142857142854,13023.39,0,28,0,6.338970896983797,5.452825726509503,0.010116253073999536,0.0
Chamla,1,0,0.0,0.0,0,1,0,6.219190268735975,6.219190268735975,0.0375586854460093,0.0
Champa,1,0,0.0,0.0,0,1,0,15.85002575837546,15.85002575837546,0.0790297339593114,0.0
Chandan,2,3,2.0,241.36,0,2,0,5.53022054321638,5.53022054321638,-0.0023474178403756004,0.0
Chandloi,2,1,0.5,43.72,0,2,0,6.928922744358983,6.928922744358983,-0.01643192488262905,0.0
Chandrabhaga,1,2,2.0,12.34,0,1,0,11.509105547299388,11.509105547299388,0.0618153364632237,0.0
Chauli,1,2,2.0,55.4,0,1,0,18.386887304544093,18.386887304544093,0.0743348982785602,0.0
Chaupat,1,0,0.0,0.0,0,1,0,-4.782271030533001,-4.782271030533001,-0.0931142410015649,0.0
Chhapi,2,7,6.0,106.97,0,2,0,15.54279535568537,15.54279535568537,0.06103286384976525,0.0
Chhoti Kali Sindh,4,2,1.0,10.23,0,4,0,-4.4150870987342525,-4.803614135716606,-0.034037558685445946,0.0
Chilkara,1,1,1.0,51.56,0,1,0,2.989320283731699,2.989320283731699,-0.0109546165884194,0.0
Chopani,1,1,1.0,0.0,0,1,0,-3.0208049598565183,-3.0208049598565183,-0.069640062597809,0.0
Dabka,1,0,0.0,0.0,1,0,0,-31.83425675980357,-31.83425675980357,-0.3395931142410016,100.0
Dahuk,1,0,0.0,0.0,0,1,0,-7.732648053057216,-7.732648053057216,-0.1517996870109546,0.0
Dai,4,1,0.25,11.49,0,4,0,33.221664523399,29.13642458933342,0.055751173708920174,0.0
Danau,4,0,0.0,0.0,0,4,0,-9.173728156612345,-8.45691516266408,-0.050078247261345826,0.0
Dande,1,0,0.0,0.0,0,1,0,-4.276841047358863,-4.276841047358863,-0.0070422535211267,0.0
Danru,1,0,0.0,0.0,0,1,0,-11.245251670235271,-11.245251670235271,-0.137715179968701,0.0
Dardha,2,0,0.0,0.0,0,2,0,-16.706599941997197,-16.706599941997197,-0.08059467918622845,0.0
Darma Yankti,2,1,0.5,6.2,0,2,0,2.947047333233217,2.947047333233217,-0.12089201877934269,0.0
Dehar,1,3,3.0,7.26,1,0,0,-3.588269125002764,-3.588269125002764,-0.1784037558685446,100.0
Deoha,5,1,1.0,209.0,2,3,0,-11.955436524146368,-11.709531157840807,-0.1280125195618153,40.0
Dhanauti,1,0,0.0,0.0,0,1,0,6.445280673929011,6.445280673929011,0.0226917057902973,0.0
Dharmauti,3,0,0.0,0.0,0,3,0,-7.269520456112473,-6.87989068895998,-0.05294731351069373,0.0
Dhasan,15,29,9.733333333333333,448.45,15,0,0,-16.610525723725598,-15.88973288778694,-0.22263954094940006,100.0
Dhauli Ganga,3,2,0.6666666666666666,1.69,0,3,0,8.991924411128108,15.483895446317032,0.0075639019300991,0.0
Dhela,1,2,2.0,171.87,1,0,0,-41.11298090910553,-41.11298090910553,-0.4233176838810641,100.0
Dhil,1,1,1.0,27.73,0,1,0,-15.995993474041247,-15.995993474041247,-0.0735524256651017,0.0
Dhund,3,3,2.0,62.05,0,3,0,-1.2606105062416406,0.7459735375482186,-0.011997913406364066,0.0
Dudhaliya,1,0,0.0,0.0,0,1,0,5.76059088844934,5.76059088844934,0.0477308294209702,0.0
Dudhi,1,3,3.0,34.15,0,1,0,1.7008027508745336,1.7008027508745336,-0.0328638497652582,0.0
East Bahgul,2,0,0.0,0.0,2,0,0,-30.367018271635516,-30.367018271635516,-0.21596244131455394,100.0
Gadela,1,0,0.0,0.0,0,1,0,21.984254900137383,21.984254900137383,0.0555555555555555,0.0
Gagas,1,0,0.0,0.0,1,0,0,-20.84314297283788,-20.84314297283788,-0.2636932707355242,100.0
Gahra,2,0,0.0,0.0,0,2,0,6.3289095336875105,6.3289095336875105,-0.0516431924882629,0.0
Galwa,1,1,1.0,48.73,0,1,0,-8.473298425664513,-8.473298425664513,-0.0868544600938967,0.0
Gambhir,11,6,2.4545454545454546,373.23,8,3,0,-21.533838643910357,-25.88814014950223,-0.18388106416275427,72.7
Gambhiri,2,8,5.0,101.78,0,2,0,15.18460723557802,15.18460723557802,0.04186228482003125,0.0
Gandak,23,0,0.0,0.0,2,14,7,0.8880765411445961,5.505573279755514,0.05769885010546368,8.7
Ganga,108,572,93.96296296296296,28916.95,58,50,0,-12.44542072087952,-11.061559840674642,-0.15265461079232595,53.7
Gangan,3,0,0.0,0.0,3,0,0,-11.337506373239009,-12.429205432933813,-0.19431403234220132,100.0
Garara,1,0,0.0,0.0,0,1,0,47.40371589426486,47.40371589426486,0.0641627543035993,0.0
Garhi,1,0,0.0,0.0,0,1,0,-1.8802670073514465,-1.8802670073514465,-0.0187793427230046,0.0
Garkhe,1,18,18.0,358.84,0,1,0,-13.108047117061142,-13.108047117061142,-0.0649452269170579,0.0
Garni,1,0,0.0,0.0,0,1,0,4.037046551230781,4.037046551230781,-0.0140845070422535,0.0
Garra,5,1,0.4,209.0,5,0,0,-29.282606189650078,-26.825576135788825,-0.2676056338028169,100.0
Gaula,4,5,3.0,454.65,0,4,0,-0.04339936656264409,-1.3687139179128445,-0.03990610328638497,0.0
Ghaghara,42,572,17.142857142857142,28916.95,27,15,0,-21.704812776783847,-19.10177680785005,-0.1670579029733959,64.3
Ghaghi,2,0,0.0,0.0,2,0,0,-36.00206044276285,-36.00206044276285,-0.2535211267605634,100.0
Ghar Ganga,1,2,2.0,5.93,0,1,0,3.2438519096210796,3.2438519096210796,-0.0101721439749608,0.0
Ghodchhatra,1,1,1.0,0.95,0,1,0,-10.969848214698487,-10.969848214698487,-0.1447574334898278,0.0
Ghora Pachhar,4,5,2.5,6.48,0,4,0,9.630229784629266,13.845643542682435,-0.010954616588419425,0.0
Ghurari,1,1,1.0,9.92,0,1,0,-10.98267492355307,-10.98267492355307,-0.1447574334898278,0.0
Giri,2,0,0.0,0.0,2,0,0,-23.890509597320445,-23.890509597320445,-0.28873239436619713,100.0
Girthi Ganga,1,0,0.0,0.0,0,1,0,28.556027490856508,28.556027490856508,0.0500782472613458,0.0
Gohirari,1,0,0.0,0.0,0,1,0,15.350027813995744,15.350027813995744,0.1283255086071987,0.0
Goini,1,0,0.0,0.0,0,1,0,22.22552898295399,22.22552898295399,0.0899843505477308,0.0
Gomti,28,1,0.03571428571428571,107.15,20,8,0,-22.998841460519355,-28.430897394041306,-0.18008048289738426,71.4
Gopat,9,24,6.777777777777778,202.4,0,9,0,20.664258022075085,21.06836476592245,0.10432968179447048,0.0
Goriganga,1,1,1.0,1.22,0,1,0,14.339739546834432,14.339739546834432,-0.0586854460093896,0.0
Gorma,1,0,0.0,0.0,0,0,1,27.3618570096861,27.3618570096861,0.2034428794992175,0.0
Gudne,1,2,2.0,7.41,0,1,0,-6.071325731040373,-6.071325731040373,-0.0641627543035993,0.0
Gumani,2,2,2.0,278.89,0,2,0,14.270367371371327,14.270367371371327,-0.005086071987480401,0.0
Gunjali,4,1,0.5,2.03,0,4,0,18.109788642804727,19.062743562828498,0.0254303599374022,0.0
Halali,1,5,5.0,37.45,0,1,0,-0.9189011309269506,-0.9189011309269506,-0.0625978090766823,0.0
Harna,1,0,0.0,0.0,0,1,0,3.9729681152130776,3.9729681152130776,-0.0719874804381846,0.0
Harohar,8,8,3.25,102.39,0,8,0,-17.9015155883037,-16.80533553116268,-0.07345461658841936,0.0
Hindon,6,0,0.0,0.0,4,2,0,-21.037642712032184,-18.369840343690946,-0.19574856546687533,66.7
Hiyuni,1,0,0.0,0.0,0,1,0,3.004742810788345,3.004742810788345,-0.1064162754303599,0.0
Hooghly,1,0,0.0,0.0,0,1,0,-12.82803345521172,-12.82803345521172,-0.1463223787167449,0.0
Ichamati,5,0,0.0,0.0,0,5,0,1.023137204083039,1.117953657391929,0.06416275430359936,0.0
Idar,2,2,1.0,10.73,0,2,0,14.731244194742082,14.731244194742082,0.0121283255086072,0.0
Indar,1,0,0.0,0.0,0,1,0,-0.7267913157117265,-0.7267913157117265,-0.0446009389671361,0.0
Iwa,3,0,0.0,0.0,1,2,0,-3.5779676421660027,-2.24699332303747,-0.034950443401147634,33.3
Jadh Ganga,5,0,0.0,0.0,0,5,0,-2.5406912925807945,-1.632653618128637,0.0037558685446009406,0.0
Jadhang,1,0,0.0,0.0,0,1,0,-0.2903317392619704,-0.2903317392619704,-0.0007824726134585,0.0
Jalkur,1,0,0.0,0.0,0,1,0,9.285155646765864,9.285155646765864,-0.0672926447574334,0.0
Jam,1,0,0.0,0.0,0,1,0,-9.262047887051605,-9.262047887051605,-0.0751173708920187,0.0
Jamni,9,11,4.222222222222222,491.86,7,2,0,-19.392467870960683,-21.938333640743146,-0.20509476612762995,77.8
Jamuni,3,0,0.0,0.0,0,3,0,-11.722976635955822,-11.938309233077348,-0.0323422013562858,0.0
Jamwar,3,0,0.0,0.0,3,0,0,-23.44223846486781,-24.010142376750647,-0.20396452790818986,100.0
Jashma,1,1,1.0,18.54,0,1,0,3.915750374837136,3.915750374837136,0.0211267605633802,0.0
Jaulaha,1,0,0.0,0.0,0,1,0,0.0716188984543512,0.0716188984543512,0.1150234741784037,0.0
Jhilmil,1,0,0.0,0.0,1,0,0,-30.46248345528488,-30.46248345528488,-0.2996870109546166,100.0
Jhim,1,0,0.0,0.0,0,1,0,-9.093039630040172,-9.093039630040172,-0.0219092331768388,0.0
Jinjoi,1,0,0.0,0.0,0,1,0,-15.529880202434232,-15.529880202434232,-0.1048513302034428,0.0
Johilla,2,15,14.0,194.43,0,2,0,-0.4112488205694207,-0.4112488205694207,-0.014084507042253499,0.0
Kadhu,3,0,0.0,0.0,3,0,0,-43.26613058809477,-43.167198838955315,-0.2749087115284298,100.0
Kadmali,1,2,2.0,12.09,0,1,0,9.088652683654216,9.088652683654216,0.0594679186228482,0.0
Kadwal,1,2,2.0,55.7,0,1,0,20.8880768870532,20.8880768870532,0.054773082942097,0.0
Kail Ganga,1,0,0.0,0.0,0,1,0,31.763782617437215,31.763782617437215,0.0054773082942097,0.0
Kakund,1,1,1.0,52.64,1,0,0,-28.92824772015547,-28.92824772015547,-0.2206572769953051,100.0
Kali,17,0,0.0,0.0,14,3,0,-28.10425722631626,-31.264445368081542,-0.2597348798674399,82.4
Kali Rau,1,0,0.0,0.0,1,0,0,-11.815677729988847,-11.815677729988847,-0.2073552425665101,100.0
Kali Sindh,11,59,28.363636363636363,6075.81,0,11,0,1.637118359509111,4.096585353938897,-0.032721582017356615,0.0
