seg_id,mean_ssa_1991_2021,river_name,tier,updated_tier,long_term_mean
3821,-0.7029154485037316,Sengur,4,4,2.0752825848239436
3822,-0.6819965172519467,Rihand,3,3,2.067811981995305
3975,-0.6285341788104839,Sai,3,3,3.2947167283450707
3824,-0.6206123115300717,Yamuna,1,1,7.632671202159624
3894,-0.619034926097835,Mandal,5,5,5.947776428368544
3481,-0.613790770577066,Sengur,4,4,2.154114635633803
3826,-0.6053625838159846,Sengur,4,4,37.08481261725352
3820,-0.5925372416452396,Rihand,3,3,32.72971658650235
4797,-0.5919403790914264,Sharda,2,2,6.730206272617371
4783,-0.5906110728415096,Suheli,4,4,33.126767575586854
3896,-0.589109387139895,Palain,5,5,4.869444832558685
3484,-0.5843240380722139,Sengur,4,4,35.0029101269953
4430,-0.5813961587561245,Gandak,2,2,17.04631292124413
3807,-0.5791197110185042,Pandu,5,5,13.972437437089201
3367,-0.5579238687942015,Non,4,4,9.44344288907277
4796,-0.5551017221441966,Sharda,2,2,4.601534112758216
4423,-0.5517813804230156,Ghaghi,5,5,23.49635492300469
4800,-0.5517114797366639,Mohana,4,4,8.147256315669013
4799,-0.5507047721256998,Mohana,4,4,5.653549542394367
4782,-0.5489865520516111,Mohana,4,4,28.897295370539908
3354,-0.5487334371181223,Sengur,4,4,1.9051279037441315
3363,-0.5469800383770833,Pahuj,4,4,7.230756334577465
3482,-0.5459825132700541,Ganga,1,1,12.69219699988263
3979,-0.5450544337885015,Sai,3,3,54.64927627453052
4784,-0.5450372682618485,Mohana,4,4,38.53631532206573
4788,-0.5438371778570993,Surna,5,5,4.402420087253521
4785,-0.5425778210975288,Mohana,4,4,54.10631065457747
4789,-0.5373649466161997,Surna,5,5,9.60581579165493
3983,-0.5371228176938811,Sai,3,3,63.66804083568075
4765,-0.5370940381442275,Ghaghara,1,1,3.915603608626761
3825,-0.5330586221059573,Non,4,4,16.964147567957745
4657,-0.5312518043041371,Ghaghara,1,1,13.114006370528168
3989,-0.5309282983345143,Sai,3,3,70.74459340962441
4414,-0.5307919954684229,Rapti,2,2,15.033352271361501
4787,-0.5307366058684292,Surna,5,5,4.001336335481221
3990,-0.527615094566391,Sai,3,3,73.59102065786385
4779,-0.5266385061175783,Mohana,4,4,9.338894088732394
4447,-0.5243631958920466,Rohini,3,3,8.478071887265259
4428,-0.5220526906927009,Rapti,2,2,9.778285887734741
4795,-0.5202514123488954,Mahakali,2,2,5.963142402230047
3533,-0.5161978873473199,Yamuna,1,1,2.806747745140845
4120,-0.5154357303306746,Manmaheshwari,5,5,3.41749627221831
3884,-0.5142589074739872,Dhela,5,5,13.369526920657279
3993,-0.5136145425098753,Sai,3,3,89.26384223122066
4415,-0.5107156328084527,Rapti,2,2,19.97850284706573
3976,-0.5076620597844131,Ganga,1,1,9.606986001232395
3877,-0.504084660431383,Ganga,1,1,2.622684063873239
3956,-0.5028484359240688,Sai,3,3,107.09921269835681
4781,-0.5016692131797165,Mohana,4,4,10.27495405
3905,-0.49604288240338523,Ganga,1,1,4.687925165880282
3873,-0.4957699791292932,Ramganga,2,2,104.9670819730047
3381,-0.49511842851102666,Pahuj,4,4,34.64177576737089
3978,-0.49266895261994764,Sai,3,3,37.62860100539906
3502,-0.4906367729551421,Karwan,4,4,9.181896192957746
