seg_id,early_q90,late_q90,early_q50,late_q50,q90_abs_change,q90_pct_change,q50_pct_change,river_name,tier,updated_tier,long_term_mean
3822,0.79080482,0.186463325,1.4738456,0.6124185950000001,-0.6043414949999999,-76.42106872843793,-58.44757449491317,Rihand,3,3,2.067811981995305
3481,0.840919398,0.233979777,1.5266647,0.69899645,-0.606939621,-72.17571891473955,-54.21414735010248,Sengur,4,4,2.154114635633803
3354,0.71972623,0.22498824,1.3157097,0.65776005,-0.49473799,-68.73974705632168,-50.00720523683909,Sengur,4,4,1.9051279037441315
3536,0.45413688799999996,0.163851385,0.8902359,0.5078822000000001,-0.290285503,-63.92026516022632,-42.949705802697906,Karwan,4,4,1.2676088839788733
4120,0.92355306,0.35323178099999997,1.7252948,1.08301625,-0.5703212790000001,-61.75295212599913,-37.22717705982768,Manmaheshwari,5,5,3.41749627221831
3367,2.4672384999999997,0.95505933,4.604599,2.71290065,-1.5121791699999996,-61.290352351424474,-41.08280330165559,Non,4,4,9.44344288907277
3821,0.6779392399999999,0.266713662,1.4173653,0.5528741500000001,-0.4112255779999999,-60.658176092594964,-60.992825914392,Sengur,4,4,2.0752825848239436
3449,0.324814444,0.12867479399999998,0.71142906,0.566227135,-0.19613965,-60.38513792200695,-20.409895120112182,Mendha,3,3,1.152357328717136
3825,4.65419168,1.86006228,8.713312,5.4350572,-2.7941294,-60.03468683954159,-37.62352134297498,Non,4,4,16.964147567957745
4091,3.0004658,1.2341859099999999,5.4641485,3.4200697,-1.7662798900000003,-58.86685627278272,-37.408917418697534,Yamuna,1,1,11.083304707312205
3541,0.686546978,0.28391870500000005,1.2506405,0.8205129250000001,-0.4026282729999999,-58.64540751062777,-34.39258324034765,Karwan,4,4,1.9538128565610329
3823,2.0216274,0.84004506,3.8236697,2.5243181,-1.1815823399999998,-58.44708772744176,-33.98179502795443,Non,4,4,7.076609378215962
7677,0.17663352599999999,0.074799003,0.37403637,0.2903267,-0.10183452299999998,-57.6529978799155,-22.380088332051777,Mendha,3,3,0.5745130036126761
4090,2.17882196,0.983026686,3.9639313,2.73912935,-1.195795274,-54.88265199970721,-30.8986674415876,Sasur Khaderi,5,5,8.128388620739438
4119,0.644867804,0.294521226,1.1932473,0.88450615,-0.35034657799999996,-54.32843380098411,-25.874028795204474,Orai,5,5,2.2818598411502347
3976,2.97565642,1.36150971,5.541052,2.95988345,-1.61414671,-54.24506334639266,-46.582644414815086,Ganga,1,1,9.606986001232395
4118,0.41760707999999996,0.195724955,0.79252476,0.52102955,-0.22188212499999996,-53.131791970576735,-34.25700037434793,Sengur,4,4,1.1615634708802818
3975,1.05148076,0.50754894,1.9817264,1.13399195,-0.5439318200000001,-51.730078256496114,-42.77757262556527,Sai,3,3,3.2947167283450707
4813,0.22166059400000002,0.10704028800000001,0.5477306,0.348599775,-0.114620306,-51.70982533774136,-36.35561442066592,Mahakali,2,2,0.7454358924964788
3482,4.2915333,2.08908315,8.103069,4.9004245,-2.20245015,-51.32082162801813,-39.52384584161878,Ganga,1,1,12.69219699988263
3806,1.3711381800000002,0.670687946,2.58432,1.6520328000000002,-0.7004502340000002,-51.08531322495885,-36.074758543833575,Ganga,1,1,4.350190401173709
3551,0.48053346399999997,0.239726815,0.89685005,0.61265355,-0.24080664899999996,-50.11235783570736,-31.688296165005507,Hindon,3,3,1.641614083157277
3533,0.885116824,0.441994433,1.9156212,1.02806615,-0.443122391,-50.06371802961006,-46.33249256168182,Yamuna,1,1,2.806747745140845
3807,4.5389486,2.26699515,8.789942,5.39121115,-2.2719534500000003,-50.054619477294814,-38.66613511215432,Pandu,5,5,13.972437437089201
3877,0.8189863820000001,0.41226263799999996,1.482242,1.001566675,-0.4067237440000001,-49.661844560438624,-32.42893704266914,Ganga,1,1,2.622684063873239
3826,13.9889876,7.17957032,26.2445,14.534483,-6.80941728,-48.676984172893256,-44.61893730114881,Sengur,4,4,37.08481261725352
3805,0.679133096,0.34873987,1.3042166,0.839066775,-0.33039322600000004,-48.64926005608774,-35.66507472761809,Kali,3,3,2.2761005834448356
3502,3.2325748,1.66534101,5.8497863,3.5598897000000003,-1.5672337900000002,-48.48252204403747,-39.144961586032636,Karwan,4,4,9.181896192957746
4795,0.685965806,0.353505803,1.3403065,0.96686443,-0.332460003,-48.46597309837336,-27.862438181117533,Mahakali,2,2,5.963142402230047
3894,0.876172752,0.45155582,1.8600775,1.0941587,-0.424616932,-48.46269540233317,-41.17671441109309,Mandal,5,5,5.947776428368544
4801,1.64178778,0.846543363,3.6429415,2.5943616499999997,-0.795244417,-48.437710810589664,-28.78387835764039,Darma Yankti,4,4,10.966248303098592
3308,0.4618472720000001,0.23823539200000002,1.3881491,1.0971441999999998,-0.22361188000000007,-48.41684547180784,-20.96351897645578,Rupin,4,4,3.487688051279343
4224,0.11699023,0.060958513000000006,0.50007933,0.268955425,-0.056031716999999995,-47.89435579364191,-46.217448139678154,Jadhang,5,5,1.4385270602147886
3484,13.216727800000001,6.9086769,24.756992,13.983648500000001,-6.308050900000001,-47.727781001890655,-43.51636701259991,Sengur,4,4,35.0029101269953
3987,2.05159554,1.07518195,3.7657557,2.38572805,-0.9764135900000002,-47.59288909352962,-36.64676521634157,Sai,3,3,6.746883204225353
4138,0.639349008,0.335920196,1.1681737,0.8310481000000001,-0.30342881200000005,-47.4590260097815,-28.859201332815488,Dhasan,3,3,2.269470649565728
4414,3.95465832,2.10513372,7.608444,4.684544000000001,-1.8495246,-46.76825278801836,-38.429671033919675,Rapti,2,2,15.033352271361501
3995,0.921421018,0.49260732,1.652969,1.19471435,-0.42881369799999997,-46.53830221181258,-27.723124269118177,Ganga,1,1,3.141702558908451
4430,4.167057,2.2521378999999997,8.1502285,5.4697294,-1.9149191,-45.95375345237658,-32.8886374167301,Gandak,2,2,17.04631292124413
3548,2.7780138,1.5027336800000002,5.067822,3.55022585,-1.27528012,-45.90618376337799,-29.945727178263166,Kali,3,3,10.07387315753521
4415,5.38447994,2.9190368,10.195003,6.50141925,-2.46544314,-45.78795292159636,-36.22935422382907,Rapti,2,2,19.97850284706573
3539,7.53134156,4.1089574,13.85276,9.044046999999999,-3.42238416,-45.441892825267104,-34.71303191566158,Karwan,4,4,20.997551384624412
3824,2.3487253200000002,1.2879292000000002,4.9654727,2.6452652,-1.06079612,-45.16475855933634,-46.726820187733594,Yamuna,1,1,7.632671202159624
4789,1.1725032800000001,0.643040586,2.4080298,1.7489048,-0.5294626940000001,-45.15660664079337,-27.37196192505591,Surna,5,5,9.60581579165493
