seg_id,trend,p_value,tau,sens_slope_m3s_yr,norm_slope_pct_yr,pct_change,early_mean,late_mean,river_name,updated_tier,long_term_mean,category,severity
3821,decreasing,5.4599214038830723e-11,-0.528169014084507,-0.04195549078692027,-2.0363529084928613,-69.33132466918764,2.9780739726022727,0.9133358377688171,Sengur,4,2.0752825848239436,Drying,Severe Drying
3822,decreasing,2.0484511864538035e-09,-0.48278560250391234,-0.03822061498560855,-1.8630117768992236,-62.11039327298455,2.839434556123106,1.0758505865860215,Rihand,3,2.067811981995305,Drying,Severe Drying
3975,decreasing,7.562535996985531e-06,-0.36071987480438183,-0.04527859444058642,-1.3764719314103895,-60.374838710805136,4.472039710219697,1.772052948091398,Sai,3,3.2947167283450707,Drying,Severe Drying
3533,decreasing,1.1824122125858594e-08,-0.4593114241001565,-0.051697126019705594,-1.8605211620697268,-60.27223571311615,3.8118624515132575,1.5143677296774192,Yamuna,1,2.806747745140845,Drying,Severe Drying
3824,decreasing,3.406450872489586e-07,-0.4107981220657277,-0.12391642062500004,-1.6277464750772008,-58.591263080723756,10.256523520757575,4.247096841774193,Yamuna,1,7.632671202159624,Drying,Severe Drying
3481,decreasing,3.7085956527960207e-09,-0.4749608763693271,-0.03662153114130434,-1.7152176535668855,-56.4735270775564,2.8618404481988637,1.2456582077688172,Sengur,4,2.154114635633803,Drying,Severe Drying
3367,decreasing,1.1167884617080404e-08,-0.460093896713615,-0.15887286687309857,-1.6954279782111823,-55.61882196822565,12.483752546515152,5.540436442715054,Non,4,9.44344288907277,Drying,Severe Drying
3354,decreasing,1.611351940766781e-09,-0.4859154929577465,-0.03153291513691603,-1.6692950933392885,-52.65912885105914,2.476587319185606,1.1724380116666666,Sengur,4,1.9051279037441315,Drying,Severe Drying
3825,decreasing,2.9114001653951505e-08,-0.44679186228482004,-0.2733233971212121,-1.6235069368757582,-52.41465898158102,22.01730723626894,10.477010731451614,Non,4,16.964147567957745,Drying,Severe Drying
3807,decreasing,3.8304393702892625e-05,-0.3317683881064163,-0.17729069490327382,-1.2727573710574873,-52.048343810575695,18.07575592195076,8.667624333333332,Pandu,5,13.972437437089201,Drying,Severe Drying
4120,decreasing,4.057102631627174e-08,-0.44209702660406885,-0.05592712134577922,-1.6498327147452658,-51.628798163451904,4.415777493274621,2.1359646439247313,Manmaheshwari,5,3.41749627221831,Drying,Severe Drying
3303,decreasing,1.3845329056572098e-06,-0.3888888888888889,-0.02273207625816994,-1.4390833019226354,-51.08774577923643,2.0364677307784094,0.9960822736021506,Yamuna,1,1.5826444804577466,Drying,Severe Drying
3796,decreasing,5.238843956867356e-06,-0.3669796557120501,-0.05267751394097221,-1.4057237304741566,-50.97005236337922,4.872332525128789,2.3889020857526884,Garra,4,3.7866598444600936,Drying,Severe Drying
3894,decreasing,9.959900681977274e-09,-0.4616588419405321,-0.11217587212239587,-1.9043237230660839,-50.96555422154717,7.658489902102272,3.7552980784946235,Mandal,5,5.947776428368544,Drying,Severe Drying
3497,decreasing,5.960248015135505e-07,-0.40219092331768386,-0.013462260511825575,-1.4211844038933965,-50.048274816570206,1.2227271720397728,0.6107733167204301,Yamuna,1,0.9551290849882629,Drying,Severe Drying
3305,decreasing,1.6448260775625556e-07,-0.4217527386541471,-0.0188857179248366,-1.5569546393944471,-49.8488436129812,1.5476964796022727,0.7761876818817204,Yamuna,1,1.211527486021127,Drying,Severe Drying
3482,decreasing,7.001871904499524e-08,-0.43427230046948356,-0.17323631796698324,-1.3769222504521594,-49.568400310400165,16.202278502443182,8.171068234946237,Ganga,1,12.69219699988263,Drying,Severe Drying
3976,decreasing,0.002089765003054689,-0.24804381846635368,-0.09512920688301282,-0.9809183709231716,-48.60523183013547,12.176111446174243,6.257884249865591,Ganga,1,9.606986001232395,Drying,Severe Drying
3502,decreasing,2.2024644996676557e-08,-0.4507042253521127,-0.15075777610615076,-1.657477901593655,-48.60163137878056,11.660358888011363,5.993234243817204,Karwan,4,9.181896192957746,Drying,Severe Drying
3877,decreasing,2.470510877650156e-06,-0.3794992175273865,-0.03392601768003034,-1.3064073817407824,-48.40103386546628,3.3267767355132576,1.7165824011290323,Ganga,1,2.622684063873239,Drying,Severe Drying
3826,decreasing,2.082334549236009e-08,-0.4514866979655712,-0.5418279520299145,-1.470655454227537,-48.20109821983841,46.99427824335227,24.34252002956989,Sengur,4,37.08481261725352,Drying,Severe Drying
3541,decreasing,9.166803605076268e-08,-0.4303599374021909,-0.03116106477941177,-1.6084686275476594,-47.998508341482584,2.472679423939394,1.2858301843817206,Karwan,4,1.9538128565610329,Drying,Severe Drying
3979,decreasing,9.484845781004836e-06,-0.3568075117370892,-0.6160068056891015,-1.1353236456058664,-47.95507329423002,69.12494244346591,35.97602563010752,Sai,3,54.64927627453052,Drying,Severe Drying
3823,decreasing,1.3315257252344281e-07,-0.42488262910798125,-0.10557934098743496,-1.5034720497015033,-47.717490807241916,8.945987223636363,4.677186592580646,Non,4,7.076609378215962,Drying,Severe Drying
4009,decreasing,3.51996815266542e-05,-0.3333333333333333,-0.031155505923913043,-1.0871543317194678,-47.1656363030648,3.642820059496212,1.9246607990591398,Sai,3,2.8922887907511736,Drying,Severe Drying
3503,decreasing,6.632752858060087e-08,-0.4350547730829421,-0.1873639524232456,-1.4602957538987393,-47.02659851125206,16.289507703655303,8.629106316397849,Karwan,4,12.940078862323944,Drying,Severe Drying
3484,decreasing,5.052355733781155e-08,-0.43896713615023475,-0.4917665317676768,-1.4141145658737406,-46.766543148885084,44.00670622653409,23.426290970698926,Sengur,4,35.0029101269953,Drying,Severe Drying
3983,decreasing,1.1350394938602903e-05,-0.3536776212832551,-0.7025622938596492,-1.1113124042796745,-46.74739148896858,79.9995977284091,42.60187258870968,Sai,3,63.66804083568075,Drying,Severe Drying
3974,decreasing,5.134498404757437e-05,-0.32629107981220656,-0.028713694562820517,-1.097672280504357,-46.5579099856226,3.3185276569526514,1.7734905375806451,Sai,3,2.6433009718661973,Drying,Severe Drying
3905,decreasing,4.62831504011163e-07,-0.4061032863849765,-0.06137513222381865,-1.3220724592966695,-46.13406008814962,5.873914053270833,3.164039014408602,Ganga,1,4.687925165880282,Drying,Severe Drying
3817,decreasing,0.00024232137168067602,-0.29577464788732394,-0.0203106784281517,-1.08063516287759,-46.050392927994785,2.360525473564394,1.2734942178225808,Ganga,1,1.8865029337206574,Drying,Severe Drying
3815,decreasing,0.00039433083413165093,-0.2856025039123631,-0.03920485240270351,-1.0636030041174847,-46.00073320890949,4.641296832683713,2.5062662592473117,Ganga,1,3.7096562994248825,Drying,Severe Drying
3989,decreasing,1.4818365223767671e-05,-0.3489827856025039,-0.7474416049603174,-1.063197740106419,-45.93449657796806,88.49234430198864,47.843831436827955,Sai,3,70.74459340962441,Drying,Severe Drying
4765,decreasing,0.007834920270909373,-0.21439749608763695,-0.029961243509615307,-0.7683260665399488,-45.81894561447943,4.89307498607197,2.651119619327957,Ghaghara,1,3.915603608626761,Drying,Severe Drying
3990,decreasing,1.2974267009857599e-05,-0.3513302034428795,-0.773140387254902,-1.0569918028290144,-45.5708660675026,91.86862260284092,50.00329563844086,Sai,3,73.59102065786385,Drying,Severe Drying
3896,decreasing,2.46323537123061e-08,-0.4491392801251956,-0.08091148491374268,-1.6751498272810177,-45.49257030762598,6.08314104580303,3.315763828629032,Palain,5,4.869444832558685,Drying,Severe Drying
4414,decreasing,0.0002819407928926765,-0.29264475743348983,-0.18033833903907504,-1.2040843126728242,-45.39617164042203,18.742403529109847,10.234069853494624,Rapti,2,15.033352271361501,Drying,Severe Drying
3864,decreasing,9.477964913395809e-05,-0.3145539906103286,-0.024342680836975526,-1.0005765640265292,-45.36856196520699,3.0577867790549242,1.670512889435484,Ramganga,2,2.4517594124178403,Drying,Severe Drying
3820,decreasing,8.460085512140836e-07,-0.3967136150234742,-0.41248071181318696,-1.26470647300924,-45.076111269997895,40.74844917168561,22.380632882258066,Rihand,3,32.72971658650235,Drying,Severe Drying
3538,decreasing,1.6021709046132315e-06,-0.3865414710485133,-0.2750173467132505,-1.4115866735561478,-44.3808361177565,24.369831684772727,13.554296622580646,Karwan,4,19.640725876995308,Drying,Severe Drying
3498,decreasing,4.925350085827063e-05,-0.3270735524256651,-0.02097738272120519,-1.1349866593445757,-44.36949195811992,2.30591279725,1.2827910041129031,Karwan,4,1.8590441253286385,Drying,Severe Drying
