seg_id,min_year,min_flow_m3s,river_name,tier,updated_tier,long_term_mean,max_year,max_flow_m3s,min_decade
1429,2022,16109.842,Padma,1,1,27289.293416901408,1984,33149.864708333334,2020
1445,2022,16021.877,Padma,1,1,27195.311758215965,1984,32980.97066666667,2020
1495,2022,8.530096,Padma,1,1,17.1842883149061,1984,29.28176529166667,2020
1496,2012,23.56328016666667,Padma,1,1,57.91545506115023,1959,100.8874945,2010
1497,2022,16057.462,Padma,1,1,27257.541894131453,1984,33090.26616666667,2020
1523,2014,7012.4120416666665,Padma,1,1,12407.399988380283,1971,17433.11061666667,2010
1525,2022,6882.9253,Padma,1,1,14739.192419953051,1974,20651.400058333336,2020
1526,2012,7.41813345,Padma,1,1,15.880005840375587,1984,25.6434292,2010
1527,2022,15918.755,Padma,1,1,27146.66145011737,1984,32894.728083333335,2020
1528,2012,17.2870404,Padma,1,1,42.90477337429577,1959,75.44027014166666,2010
1530,2012,22.148099116666668,Padma,1,1,49.59162863356807,1984,86.06651916666668,2010
1548,2022,21.207924,Punarbhaba,4,4,55.655701695774646,1984,108.19679975000001,2020
1549,2022,35.297493,Punarbhaba,4,4,83.82393540669014,1984,160.91680991666667,2020
1551,2014,6961.537958333333,Padma,1,1,12347.029978286386,1971,17366.863966666668,2010
1552,2022,2.349523,Padma,1,1,5.238577650774649,1984,8.856140816666667,2020
1553,2014,6967.190616666667,Padma,1,1,12354.839418309859,1971,17377.482991666668,2010
1560,1994,4.722216566666667,Tangan,4,4,12.80849325786385,1984,26.092850341666665,1990
1562,2022,7.313533,Punarbhaba,4,4,18.983422844248828,1984,38.5671403,2020
2480,1979,10.063292725,Kevai,5,5,22.73966485938967,1994,39.094886225,1970
2481,2015,8.446695216666667,Son,2,2,14.308983899882628,1961,24.69053895,2010
2807,2010,3.2421887166666665,Mohana,4,4,11.702358607629108,1971,21.338079975,2010
2910,2012,1.3598442708333334,Padma,1,1,7.561889157359155,1962,15.321916058333334,2010
2912,2012,3.4287417916666665,Padma,1,1,18.93275565559859,1962,39.63955563333334,2010
2913,2012,5.447207691666667,Ichamati,4,4,20.5486154814554,1953,40.757976774999996,2010
2914,2012,7.130886733333333,Kalindi,5,5,41.62069646079812,1962,90.98275141666666,2010
2915,2012,25.438560750000004,Ichamati,4,4,71.34025063356808,1984,119.09058816666668,2010
2916,1958,3.013111783333333,Ichamati,4,4,9.292011441314553,1984,16.996612966666664,1950
2918,2012,3.452169083333333,Ichamati,4,4,12.03756822652582,1953,23.042867825000002,2010
2919,1972,22.20445666666667,Mathabanga,5,5,48.91613237723005,1984,87.48308083333335,1970
2920,1958,2.108182975,Padma,1,1,7.704616425352113,1984,13.784360249999999,1950
2921,1972,39.76964725,Padma,1,1,92.3614619665493,1984,158.713447,1970
2922,1958,11.746961858333334,Ichamati,4,4,29.881333957042255,1984,52.01583805833334,1950
2928,1972,4.892732316666667,Padma,1,1,12.138271968309859,1959,21.239006316666668,1970
2929,1972,46.94511574999999,Padma,1,1,110.81585504577464,1984,188.1135984166667,1970
2930,1972,5.841205775,Mathabanga,5,5,13.235049484859154,1984,23.42446825,1970
2931,1972,7.740773291666667,Bhairab,5,5,17.188659837206572,1984,30.6681961,1970
2933,1958,4.685606383333334,Padma,1,1,13.885134783568075,1984,24.696382483333334,1950
2954,2018,4.169355524999999,Gumani,4,4,12.587300281103285,1999,30.17029355,2010
2957,1972,10.679482141666668,Gumani,4,4,34.01820360680751,1999,88.60228283333333,1970
2959,2014,6643.542591666667,Ganga,1,1,11915.043745187793,1971,16857.344950000002,2010
2960,2014,6685.967316666666,Ganga,1,1,11957.178962558684,1971,16915.400841666666,2010
2971,2022,158.36511,Padma,1,1,365.8362425058686,1984,650.5687212500001,2020
2973,2014,6695.2622249999995,Padma,1,1,11970.29781173709,1971,16937.387433333333,2010
2977,1965,4.155901358333334,Chandan,4,4,11.521441636032863,1999,27.862320083333334,1960
2978,1966,3.3216263500000003,Barnar,5,5,10.927676649413145,1984,24.874918891666667,1960
3217,1992,7.6534087416666665,Koel,3,3,17.428241620539907,1971,39.39774383333333,1990
3244,2002,0.5703869733333333,Sota,4,4,2.3032243041431926,1995,8.497632691666666,2000
3245,2002,0.7411553008333334,Sota,4,4,3.3575849691666666,1995,11.492849375,2000
3246,2002,1.4678310333333335,Sota,4,4,6.535281149870892,1995,23.01203669166667,2000
3247,1987,0.5264514883333333,Chalak,5,5,2.3081979403051642,1995,9.903718383333333,1980
3248,2002,2.4540743416666664,Sota,4,4,10.468388803521128,1995,39.102114658333335,2000
3260,2007,0.19998005,Yamuna,1,1,1.156249513697183,1964,4.384218528333333,2000
3261,1987,76.0401055,Yamuna,1,1,245.0203766431925,1959,515.9815074166667,1980
3262,1987,76.57404708333333,Yamuna,1,1,247.5150270023474,1959,518.1134858333334,1980
3263,2002,11.864100791666667,Yamuna,1,1,54.55474567359155,1995,217.50433316666667,2000
3264,1987,91.06260758333333,Yamuna,1,1,306.8312842464789,1978,605.2443803333333,1980
3279,2007,0.36821932916666666,Yamuna,1,1,2.051489032840376,1964,7.732166583333334,2000
3281,2007,0.6975466016666667,Yamuna,1,1,4.020057607805165,1964,14.961508041666667,2000
3284,1974,1.4895136775,Bata,5,5,6.539674414953052,1959,14.68913283,1970
3285,1987,5.728434808333334,Tons,2,2,20.001716998239438,1959,42.79667478333334,1980
3286,2022,10.085888,Giri,4,4,41.75853889401409,1959,80.27544041666667,2020
3287,2022,47.818874,Yamuna,1,1,149.69210931924883,1959,335.3244681666667,2020
3288,1987,53.73470699999999,Yamuna,1,1,170.09387141607982,1959,378.95598341666664,1980
3289,1987,57.95085783333334,Yamuna,1,1,182.625141092723,1959,405.9241784166666,1980
3290,1982,3.2376629416666667,Yamuna,1,1,12.03465976584507,1959,23.104335208333335,1980
3291,1981,2.514249216666667,Yamuna,1,1,11.943506646244131,1959,26.816401058333337,1980
3292,1987,61.9344605,Yamuna,1,1,194.9918380140845,1959,429.68523374999995,1980
3293,1987,68.38836041666667,Yamuna,1,1,215.9370310539906,1959,472.19794275000004,1980
3295,1987,1.6437312225000003,Yamuna,1,1,7.519482629319248,1964,17.23510393333333,1980
3296,1982,0.8658665308333333,Yamuna,1,1,5.926490043368545,1988,13.085779710833334,1980
3297,1987,3.160533975,Yamuna,1,1,13.462395763497653,1964,29.108238341666667,1980
3298,1987,71.89428516666666,Yamuna,1,1,230.6052507370892,1959,500.5593675,1980
3300,1987,73.85829566666666,Yamuna,1,1,237.6567388450704,1959,509.7199944166667,1980
3301,1982,1.0158606666666665,Hindon,3,3,7.0702225384037565,1978,19.88997863333333,1980
3302,1982,4.679176808333334,Hindon,3,3,20.54279970786385,1978,45.778590441666665,1980
3303,2017,0.25748671083333335,Yamuna,1,1,1.5826444804577466,1955,5.355643503333333,2010
3304,1987,74.70548108333334,Yamuna,1,1,240.4550102359155,1959,512.1662838333333,1980
3305,2017,0.18322257833333333,Yamuna,1,1,1.211527486021127,1964,4.489207329166667,2010
3308,2009,0.28023318333333336,Rupin,4,4,3.487688051279343,1959,21.539368300000003,2000
3309,2009,0.8289407291666667,Tons,2,2,7.930373077969483,1959,31.433455433333336,2000
3310,2004,1.8154302108333333,Pabbar,4,4,12.922078144014083,1959,41.429536774999995,2000
3311,2009,1.579447325,Tons,2,2,16.959023804342724,1959,66.86447729166666,2000
3312,2009,4.651191133333334,Tons,2,2,34.265965703521125,1959,115.87585908333334,2000
3316,2022,1.4089956,Shallu,5,5,7.118451696514084,1978,17.2756307625,2020
3317,2009,8.186685291666667,Tons,2,2,42.14621310340375,1959,129.19331158333333,2000
3318,2022,0.96099275,Sainj,5,5,5.434655393568075,1978,11.732848079999998,2020
3319,2009,13.812208708333335,Tons,2,2,58.28451773004695,1959,161.00038941666665,2000
3320,2009,6.9359231333333335,Yamuna,1,1,45.429160624647885,2010,110.86877303333334,2000
3321,1987,1.2339051108333334,Aglad,5,5,6.8623647396948355,1954,15.982256525000002,1980
3322,2009,3.6788289666666665,Yamuna,1,1,32.36593197159624,1971,85.919832825,2000
3323,2009,9.130096400000001,Bhagirathi,3,3,74.53743137523475,1971,166.49294391666666,2000
3324,2009,22.1809145,Yamuna,1,1,107.22823991126761,1959,253.56635550000001,2000
3325,1972,0.9994001766666667,Ashmi,5,5,3.515667688039906,1955,10.0902117025,1970
3326,2022,3.232049,Giri,4,4,14.222239022887324,1968,33.333397041666665,2020
3328,2015,0.6773803666666667,Sarai,5,5,3.2447795998591547,2021,8.849427035833333,2010
3329,2015,0.7389918733333333,Chambal,2,2,3.4061091812558684,2021,9.058794157500001,2010
3330,2017,2.658133558333333,Kadwal,5,5,11.265656251877934,2021,29.265794283333335,2010
3331,2017,3.4115650416666665,Chambal,2,2,14.640147598591549,2021,38.402328016666665,2010
3332,2002,42.71260591666667,Banas,3,3,217.0680951302817,2019,542.7445770833334,2000
3333,1951,236.26304545454548,Chambal,2,2,823.1478288838028,2019,2331.5565991666667,1950
3334,1951,239.88977999999997,Chambal,2,2,837.7891443392018,2019,2353.1659791666666,1950
3335,2002,322.530075,Chambal,2,2,1057.3942189084507,2019,2899.2439325,2000
3336,2002,325.664105,Chambal,2,2,1067.8948604178404,2019,2911.7101375,2000
3337,2002,10.885390208333334,Kuno,4,4,44.29453997582159,2021,120.20402707500001,2000
3338,2002,0.6557689125,Karisil,5,5,4.2007352377934275,1995,12.434468391666668,2000
3339,2002,344.45194583333335,Chambal,2,2,1134.892424870892,2019,3000.458285833334,2000
3340,1979,0.9691589008333333,Parbati,3,3,4.875596491936619,2011,11.032930699166668,1970
3341,2007,1.1520838375,Karai,5,5,5.701916409131455,1971,14.251219538333332,2000
3342,2002,2.1814870166666664,Kuno,4,4,10.298120720915493,1971,24.990775,2000
3343,2002,4.073038483333334,Kuno,4,4,19.044579765845068,1971,47.998912174999994,2000
3344,1979,6.026048408333334,Sindh,3,3,29.422875371126757,2019,61.137690383333336,1970
3345,1979,8.348344016666667,Sindh,3,3,39.29239282323943,2019,78.38893244166667,1970
3346,2002,0.7006421975,Kendar,5,5,3.2234827864553988,2021,8.897643016666667,2000
3347,2002,1.0310989033333333,Manki,5,5,4.394838872476526,2021,12.332141699166668,2000
3348,2002,2.0108095833333333,Kuno,4,4,8.836064239753522,2021,24.852315466666667,2000
3349,2007,2.3170151249999997,Kunwari,4,4,13.247409888497652,1977,45.694535441666666,2000
3350,2007,0.17349280833333333,Kunwari,4,4,1.5618187565680752,1958,4.538227226666667,2000
3351,1980,0.3318888325,Bamni,5,5,1.6063562642840374,1958,5.188776963333333,1980
3352,2007,0.2953819991666667,Parbati,3,3,1.4611272497769954,1958,5.0142300025,2000
3353,2007,0.18996573083333335,Vaisali,4,4,2.010706395181925,1961,5.898144133333333,2000
3354,2016,0.16612889833333333,Sengur,4,4,1.9051279037441315,1960,6.519780975000001,2010
3355,1987,0.32162265416666663,Sesar,5,5,1.7123028148474178,1958,5.1285661475,1980
3356,2007,0.9322503625,Vaisali,4,4,3.9252258325938967,1958,10.722014241666669,2000
3357,2007,0.5146209583333333,Kunwari,4,4,3.473478877652582,1958,10.058653025,2000
3358,2007,0.4339372358333333,Parbati,3,3,2.8093668712676054,1958,8.952337691666667,2000
3359,2007,0.52359807,Gambhir,4,4,2.5327639393427233,1958,10.148454150000001,2000
3360,2007,1.0394087175,Vaisali,4,4,4.296685468861503,1961,11.810572041666667,2000
3361,2007,0.6337655733333333,Jhilmil,5,5,4.307903014694836,1961,10.243302025,2000
3362,2007,1.3423752333333334,Sank,5,5,7.048279792805165,1958,19.236581750000003,2000
3363,2007,1.0176707491666666,Pahuj,4,4,7.230756334577465,1961,16.808186858333332,2000
3364,2007,0.8901039416666667,Parbati,3,3,5.025083359237089,1958,16.497767316666668,2000
3365,2007,0.8832003016666666,Gambhir,4,4,5.414131986161972,1956,14.745392733333333,2000
3366,2007,1.3717492291666666,Asan,4,4,8.335319395516432,1958,22.74442845,2000
3367,2007,0.9568897683333333,Non,4,4,9.44344288907277,1980,36.68273045,2000
3368,2015,1.4298367166666666,Sengur,4,4,7.864733455798122,1960,22.552830325000002,2010
3369,2007,1.938570725,Parbati,3,3,9.930123650704225,1958,32.573668508333334,2000
3370,2007,2.8501096083333333,Vaisali,4,4,14.98000356302817,1961,40.850856900000004,2000
3371,2007,2.262892733333333,Sengur,4,4,11.229022531807512,1967,32.486689524999996,2000
3372,2007,2.93846235,Asan,4,4,17.15321900680751,1958,47.11530135833333,2000
3373,2002,2.075919125,Gambhir,4,4,11.673410516901408,1995,36.552585916666665,2000
