seg_id,river_name,tier,n_upstream_dams,total_upstream_capacity_mcm,nearest_upstream_dam,nearest_dam_dist_km,nearest_dam_year,dams_before_1991,dams_after_1991
3750,Ahar,99,3,180.03,Udai Sagar Dam,3.22,1585.0,2,0
3751,Berach,99,4,210.49,Berach/Vallabh Nagar Dam,2.97,1972.0,3,0
3752,Berach,99,1,19.42,Bagolia Dam,8.53,1956.0,1,0
3753,Andheri,99,0,0.0,,,,0,0
3754,Retili,99,0,0.0,,,,0,0
3755,Andheri,99,1,30.8,Lhasi Dam,13.93,1619.0,1,0
3756,Upreni,99,0,0.0,,,,0,0
3757,Garni,99,0,0.0,,,,0,0
3758,Andheri,99,0,0.0,,,,0,0
3759,Andheri,99,1,30.8,Lhasi Dam,30.85,1619.0,1,0
3760,Parbati,99,38,292.25,Benthali Dam,14.76,1965.0,25,11
3761,Parbati,99,38,292.25,Benthali Dam,35.16,1965.0,25,11
3762,Parbati,99,38,292.25,Benthali Dam,46.71,1965.0,25,11
3763,Bilas,99,1,28.9,Bilas Dam,12.08,1996.0,0,1
3764,Parbati,99,39,323.06,Lhasi Dam,46.94,1619.0,26,11
3765,Parbati,99,40,351.95,Bilas Dam,30.89,1996.0,26,12
3766,Khul,99,1,32.65,Gopalpura Dam,10.8,1980.0,1,0
3767,Bamnidai,99,0,0.0,,,,0,0
3769,Banganga,99,0,0.0,,,,0,0
3770,Khul,99,1,18.6,Umed Sagar Dam,2.79,1917.0,1,0
3771,Khul,99,1,18.6,Umed Sagar Dam,11.83,1917.0,1,0
3772,Khul,99,2,51.25,Umed Sagar Dam,19.34,1917.0,2,0
3773,Khul,99,2,51.25,Umed Sagar Dam,25.14,1917.0,2,0
3774,Parbati,99,42,403.2,Umed Sagar Dam,30.46,1917.0,28,12
3775,Parbati,99,1,17.68,Rajiv Sagar (Maksudangarh) Dam,14.59,,0,0
3776,Parbati,99,27,105.84,Govindpura Dam,14.63,1992.0,18,8
3777,Parbati,99,2,39.03,Sanjay Sagar Dam,13.1,1985.0,2,0
3778,Parbati,99,30,161.05,Sanjay Sagar Dam,16.08,1985.0,20,9
3779,Chopani,99,1,0.0,Ruthai (Gopi Krishna Sagar) Dam,8.5,,0,0
3780,Parbati,99,32,198.33,Benthali Dam,8.94,1965.0,21,9
3781,Ghora Pachhar,99,0,0.0,,,,0,0
3782,Manoli,99,0,0.0,,,,0,0
3783,Manoli,99,3,63.51,Gararda Dam,3.8,2010.0,2,1
3784,Thalera,99,0,0.0,,,,0,0
3785,Manoli,99,3,63.51,Gararda Dam,20.22,2010.0,2,1
3786,Machhli,99,1,12.96,Paibala Pura Dam,11.05,1957.0,1,0
3787,Chambal,99,107,9754.05,Paibala Pura Dam,45.83,1957.0,65,33
3788,Papras,99,1,3.79,Chapper Dam,7.69,1980.0,1,0
3789,Parbati,99,1,1.73,Guradia Roopchand Dam,13.57,1997.0,0,1
3790,Ajnal,99,5,10.36,Konajhir Dam,13.24,1940.0,5,0
3791,Mej,99,8,141.83,Bundika Gothra Dam,22.64,,3,3
3792,Garra,99,0,0.0,,,,0,0
3793,Khaimua,99,0,0.0,,,,0,0
3794,Deoha,99,1,209.0,Nanak Sagar Dam,132.12,1962.0,1,0
3795,Garra,2,1,209.0,Nanak Sagar Dam,157.9,1962.0,1,0
3796,Garra,99,0,0.0,,,,0,0
3797,Garra,2,1,209.0,Nanak Sagar Dam,187.52,1962.0,1,0
3798,Ganga,1,1,209.0,Nanak Sagar Dam,198.46,1962.0,1,0
3799,Ramganga,99,10,926.78,Baigul Dam,163.0,1968.0,10,0
3800,Ganga,1,9,4072.31,Srinagar Dam,350.06,2014.0,1,8
3801,Ganga,1,19,4999.1,Baigul Dam,193.42,1968.0,11,8
