dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Chhota Palgi T. Dam,23.1519,83.0997,Chhattisgarh,Local,0.297,2000.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,66.44
Ramchandrapur T. Dam,23.9422,83.4931,Chhattisgarh,Local,1.028,1994.0,"NRLD_2019 (score=0.80, method=pic_srno_match)",4602.0,Kanhar,tier3_nearest,3.96
Chandra Nagar T. Dam,23.9419,83.4931,Chhattisgarh,Local,3.414,,Not found,4602.0,Kanhar,tier3_nearest,3.97
Parasrampur T. Dam,23.1194,83.2658,Chhattisgarh,Garasili,0.945,2004.0,"NRLD_2019 (score=0.80, method=pic_srno_match)",,,unassigned,49.62
Barnai Reservior Dam,22.9008,83.1758,Chhattisgarh,Barnai,1.2,2005.0,"NRLD_2019 (score=0.80, method=pic_srno_match)",,,unassigned,69.55
Batare Dam,24.4297,84.1861,Jharkhand,Batare,3.16,1954.0,"NRLD_2019 (score=0.60, method=first_word_match)",4543.0,Batane,tier3_nearest,7.24
Baranadi Dam,24.1178,87.4003,Jharkhand,Baranadi,5.64,1967.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,70.84
Kairabani Dam,24.1697,87.44,Jharkhand,Dararika,3.55,1967.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,64.99
Temarain Dam,23.9981,84.0031,Jharkhand,Temarain,1.3,1973.0,"NRLD_2019 (score=0.60, method=first_word_match)",4597.0,Tahle,tier3_nearest,4.89
Sunder Dam,24.9436,87.3908,Jharkhand,Sunder,30.89,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",2954.0,Gumani,tier3_nearest,18.06
Dhankai Dam,24.2233,83.9564,Jharkhand,Dhankai,0.855,1979.0,"NRLD_2019 (score=0.60, method=first_word_match)",4600.0,Koel,tier3_nearest,6.49
Left Banki Dam,24.2306,83.4772,Jharkhand,Left Banki,5.074,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",4602.0,Kanhar,tier3_nearest,16.69
