seg_id,early_dry_mean,late_dry_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean,dry_mk_trend,dry_mk_p_value,dry_sens_slope_pct_yr
4226,3.5794838441875,1.370589842580645,-2.208894001606855,-61.70984694326083,Mana,5,5,5.819124316302816,decreasing,2.7981180594771615e-05,-0.943325085769681
4229,6.5878831431250005,2.6684772645967745,-3.919405878528226,-59.494162136413266,Jadh Ganga,4,4,10.663585850528168,decreasing,0.0001125989129322491,-0.9218735045749984
4231,9.42012833875,4.22875723467742,-5.191371104072581,-55.10934583255845,Jadh Ganga,4,4,14.579977696948356,decreasing,0.00022167578460363657,-0.903117596232884
4228,9.083930298125,4.0812233801612905,-5.00270691796371,-55.07205310675172,Bhagirathi,3,3,14.82628099758216,decreasing,0.001439306397169604,-0.7853895254569923
3310,17.002213318124998,7.749781523387097,-9.252431794737902,-54.41898429114792,Pabbar,4,4,12.922078144014083,decreasing,0.004383985174551741,-0.7945073660608277
4238,18.468844083125,8.442873366935483,-10.025970716189516,-54.28585931563662,Alaknanda,3,3,24.62153532875587,decreasing,0.0023062399604034667,-0.7949608609263201
4224,0.74869562391875,0.34269807155645166,-0.40599755236229834,-54.22731740266696,Jadhang,5,5,1.4385270602147886,decreasing,0.00026916027549761523,-0.9671759728523452
3821,1.325187509375,0.6242071945161289,-0.7009803148588711,-52.89668895154885,Sengur,4,4,2.0752825848239436,decreasing,4.969535893906141e-11,-1.8237213722987229
3822,1.3963179570625,0.6588409905564516,-0.7374769665060483,-52.81583344079549,Rihand,3,3,2.067811981995305,decreasing,4.258482455554713e-10,-1.7182791567730924
4227,1.9541915916875,0.9397706425806451,-1.0144209491068548,-51.91000480310497,Jadh Ganga,4,4,3.337238610539906,decreasing,0.0006615191578531743,-0.9286545759491522
4243,3.942208014875,1.9522574255645162,-1.9899505893104836,-50.478071725334395,Kail Ganga,4,4,7.05570950890845,no trend,0.12631452711815294,-0.23981069366063557
3308,4.823773275625,2.3985401705645164,-2.425233105060484,-50.2766810644983,Rupin,4,4,3.487688051279343,no trend,0.08590320114263394,-0.3794176182630687
4223,1.15567117225,0.5824553441129032,-0.5732158281370967,-49.600253246872214,Jadh Ganga,4,4,1.8276515580798123,decreasing,0.0012109569693139477,-0.8732726640484881
3481,1.4709430183749999,0.7545167901612903,-0.7164262282137096,-48.70523325948885,Sengur,4,4,2.154114635633803,decreasing,1.5820260657051222e-09,-1.6451586420140087
3316,4.22335914875,2.1875966558870967,-2.0357624928629034,-48.20244788950601,Shallu,5,5,7.118451696514084,decreasing,0.0009812430608893141,-0.8645072990825087
3326,11.168160170625,5.903483299193549,-5.264676871431452,-47.140055219469744,Giri,4,4,14.222239022887324,decreasing,0.011359160904444332,-0.6031619613502528
3317,37.3083033375,19.893320304838706,-17.414983032661294,-46.67857145665702,Tons,2,2,42.14621310340375,decreasing,0.015008302902396187,-0.6845897687271703
3312,32.780177357499994,17.52039094112903,-15.259786416370964,-46.55187264531251,Tons,2,2,34.265965703521125,decreasing,0.031223286012778573,-0.660777500995123
