seg_id,trend,p_value,tau,sens_slope_m3s_yr,intercept,long_term_mean_m3s,norm_slope_pct_yr,total_change_pct,river_name,tier,updated_tier
3821,decreasing,5.4599214038830723e-11,-0.528169014084507,-0.04195549078692027,3.268203650019003,2.0603251338183926,-2.0363529084928613,-146.61740941148602,Sengur,4,4
3894,decreasing,9.959900681977274e-09,-0.4616588419405321,-0.11217587212239587,9.49649820326172,5.890588389130892,-1.9043237230660839,-137.11130806075803,Mandal,5,5
3822,decreasing,2.0484511864538035e-09,-0.48278560250391234,-0.03822061498560855,3.1335124053224375,2.051549832348485,-1.8630117768992236,-134.1368479367441,Rihand,3,3
3533,decreasing,1.1824122125858594e-08,-0.4593114241001565,-0.051697126019705594,3.7175868945328823,2.77863681820181,-1.8605211620697268,-133.95752366902033,Yamuna,1,1
3481,decreasing,3.7085956527960207e-09,-0.4749608763693271,-0.03662153114130434,3.291549559682971,2.1350952787331647,-1.7152176535668855,-123.49567105681575,Sengur,4,4
3367,decreasing,1.1167884617080404e-08,-0.460093896713615,-0.15887286687309857,14.77687103232833,9.370664452566288,-1.6954279782111823,-122.07081443120512,Non,4,4
3896,decreasing,2.46323537123061e-08,-0.4491392801251956,-0.08091148491374268,7.190767708604532,4.830104364161405,-1.6751498272810177,-120.61078756423328,Palain,5,5
3354,decreasing,1.611351940766781e-09,-0.4859154929577465,-0.03153291513691603,2.7742960827771856,1.888995855959596,-1.6692950933392885,-120.18924672042877,Sengur,4,4
3502,decreasing,2.2024644996676557e-08,-0.4507042253521127,-0.15075777610615076,12.123436347601686,9.095613037205387,-1.657477901593655,-119.33840891474316,Karwan,4,4
4120,decreasing,4.057102631627174e-08,-0.44209702660406885,-0.05592712134577922,5.167387813608496,3.389866187397937,-1.6498327147452658,-118.78795546165914,Manmaheshwari,5,5
3824,decreasing,3.406450872489586e-07,-0.4107981220657277,-0.12391642062500004,10.55110383635417,7.612759267018098,-1.6277464750772008,-117.19774620555846,Yamuna,1,1
3825,decreasing,2.9114001653951505e-08,-0.44679186228482004,-0.2733233971212121,26.065453376969696,16.835369835079966,-1.6235069368757582,-116.89249945505459,Non,4,4
3541,decreasing,9.166803605076268e-08,-0.4303599374021909,-0.03116106477941177,2.5504303375857846,1.9373125621306815,-1.6084686275476594,-115.80974118343147,Karwan,4,4
3305,decreasing,1.6448260775625556e-07,-0.4217527386541471,-0.0188857179248366,1.517516389248366,1.2129908892003367,-1.5569546393944471,-112.1007340364002,Yamuna,1,1
4797,decreasing,8.23258075044464e-08,-0.431924882629108,-0.10043450258799157,10.187567075207035,6.678490935834385,-1.5038502492995247,-108.27721794956578,Sharda,2,2
3823,decreasing,1.3315257252344281e-07,-0.42488262910798125,-0.10557934098743496,10.016311142553942,7.022368058547979,-1.5034720497015033,-108.24998757850824,Non,4,4
3363,decreasing,3.585818360019033e-07,-0.41001564945226915,-0.10663135158222853,10.116934818669112,7.208006191683501,-1.4793460042425923,-106.51291230546664,Pahuj,4,4
3826,decreasing,2.082334549236009e-08,-0.4514866979655712,-0.5418279520299145,53.82745696372862,36.84261670348274,-1.470655454227537,-105.88719270438266,Sengur,4,4
3503,decreasing,6.632752858060087e-08,-0.4350547730829421,-0.1873639524232456,16.319876340191886,12.830548327146467,-1.4602957538987393,-105.14129428070923,Karwan,4,4
3884,decreasing,1.4801795722441113e-07,-0.42331768388106417,-0.19238925447807015,18.813861038138157,13.271238380471381,-1.4496707011244014,-104.3762904809569,Dhela,5,5
3303,decreasing,1.3845329056572098e-06,-0.3888888888888889,-0.02273207625816994,1.8343375589832145,1.5796219876778201,-1.4390833019226354,-103.61399773842976,Yamuna,1,1
4795,decreasing,1.8524984579659787e-06,-0.3841940532081377,-0.08484290508080805,8.677586467035352,5.906066385385101,-1.4365382903713488,-103.43075690673712,Mahakali,2,2
4800,decreasing,6.267776151425153e-07,-0.4014084507042254,-0.1156612131115984,11.82693401962841,8.110898600857533,-1.4259975226341752,-102.67182162966061,Mohana,4,4
4799,decreasing,5.667290556843341e-07,-0.4029733959311424,-0.08010635740064102,8.18907593355609,5.627829402211701,-1.4233970448564013,-102.48458722966089,Mohana,4,4
3497,decreasing,5.960248015135505e-07,-0.40219092331768386,-0.013462260511825575,1.1698786198364746,0.9472564204156144,-1.4211844038933965,-102.32527708032455,Yamuna,1,1
3484,decreasing,5.052355733781155e-08,-0.43896713615023475,-0.4917665317676768,50.18926644593435,34.77557926601431,-1.4141145658737406,-101.81624874290932,Sengur,4,4
3538,decreasing,1.6021709046132315e-06,-0.3865414710485133,-0.2750173467132505,24.62788937498706,19.48285230126263,-1.4115866735561478,-101.63424049604264,Karwan,4,4
3805,decreasing,6.594417740757308e-06,-0.36306729264475746,-0.03170175717699196,2.860922302699881,2.253710188818918,-1.406647462227857,-101.27861728040571,Kali,3,3
3796,decreasing,5.238843956867356e-06,-0.3669796557120501,-0.05267751394097221,4.440908960737847,3.747358943937289,-1.4057237304741566,-101.21210859413927,Garra,4,4
3381,decreasing,2.470510877650156e-06,-0.3794992175273865,-0.48357082931818185,47.93854550329545,34.46032503196549,-1.4032683350189539,-101.03532012136468,Pahuj,4,4
3806,decreasing,1.1954765215538288e-06,-0.39123630672926446,-0.06026182052014653,5.479426115965202,4.308944348621633,-1.3985286335717793,-100.6940616171681,Ganga,1,1
4787,decreasing,2.039823144395214e-06,-0.3826291079812207,-0.05520432277182541,5.568117752983135,3.9655785425452432,-1.3920874893677782,-100.23029923448003,Surna,5,5
3482,decreasing,7.001871904499524e-08,-0.43427230046948356,-0.17323631796698324,16.215604191994572,12.581416119181398,-1.3769222504521594,-99.13840203255548,Ganga,1,1
3975,decreasing,7.562535996985531e-06,-0.36071987480438183,-0.04527859444058642,4.146679835974151,3.289467326383628,-1.3764719314103895,-99.10597906154804,Sai,3,3
3539,decreasing,1.8524984579659787e-06,-0.3841940532081377,-0.2866813213967338,26.672104030417387,20.8286688965383,-1.376378504170182,-99.0992523002531,Karwan,4,4
4119,decreasing,5.960248015135505e-07,-0.40219092331768386,-0.03099554767460317,3.026152471615079,2.2628467996390995,-1.369758999130946,-98.62264793742811,Orai,5,5
4789,decreasing,4.350827704779903e-06,-0.3701095461658842,-0.12974214422809832,13.47010523134749,9.522916264434976,-1.3624202988389538,-98.09426151640467,Surna,5,5
3316,decreasing,3.608079779171547e-06,-0.3732394366197183,-0.09484250114534885,9.907489169826551,7.043060249866372,-1.3466092547930184,-96.95586634509732,Shallu,5,5
3867,decreasing,1.0835143919862844e-06,-0.39280125195618154,-0.07835099500345066,7.951926110122498,5.870731419995791,-1.3346036362110878,-96.09146180719833,Bahalla,5,5
3905,decreasing,4.62831504011163e-07,-0.4061032863849765,-0.06137513222381865,5.878932623112229,4.642342542743055,-1.3220724592966695,-95.18921706936021,Ganga,1,1
4657,decreasing,9.816794590555844e-07,-0.39436619718309857,-0.17094741901041666,18.37462313736979,12.99747148042824,-1.315235961608621,-94.69698923582072,Ghaghara,1,1
3877,decreasing,2.470510877650156e-06,-0.3794992175273865,-0.03392601768003034,3.3830794009744105,2.5968942118823657,-1.3064073817407824,-94.06133148533634,Ganga,1,1
4788,decreasing,5.486591412084962e-06,-0.36619718309859156,-0.05685296726449279,6.1819319478894945,4.366221189909512,-1.302109187594114,-93.75186150677621,Surna,5,5
4782,decreasing,9.342814411006373e-07,-0.3951486697965571,-0.3742831405009921,40.54368883361855,28.765556007649415,-1.3011503772131563,-93.68282715934726,Mohana,4,4
4796,decreasing,3.235759389319526e-07,-0.41158059467918623,-0.059227062172807,6.564735763801314,4.559366864095118,-1.2990194458625033,-93.52940010210024,Sharda,2,2
3548,decreasing,3.373843693799117e-05,-0.33411580594679186,-0.12890315811403513,13.006514408881582,10.001837886902358,-1.288794715247653,-92.79321949783102,Kali,3,3
4138,decreasing,2.039823144395214e-06,-0.3826291079812207,-0.028817884804613596,3.1751008568137826,2.2465447371012206,-1.282764786682954,-92.35906464117268,Dhasan,3,3
4137,decreasing,2.501090717843546e-05,-0.3395931142410016,-0.05793707798611111,6.228255497673611,4.523544422430555,-1.2807894114805847,-92.2168376266021,Lakheri,5,5
3873,decreasing,3.406450872489586e-07,-0.4107981220657277,-1.333413295865633,143.3011968365633,104.17643136237375,-1.2799567795016953,-92.15688812412206,Ramganga,2,2
4784,decreasing,1.2555521791135504e-06,-0.3904538341158059,-0.49039597553745573,53.727335656579676,38.35163923604798,-1.2786832200812848,-92.0651918458525,Mohana,4,4
3807,decreasing,3.8304393702892625e-05,-0.3317683881064163,-0.17729069490327382,17.44609102323289,13.929653752935605,-1.2727573710574873,-91.63853071613909,Pandu,5,5
3882,decreasing,1.6817629808763002e-06,-0.3857589984350548,-0.7321126077884106,79.51992445148858,57.60789425411406,-1.2708546584934874,-91.5015354115311,Ramganga,2,2
3883,decreasing,5.388239794346106e-07,-0.40375586854460094,-1.1442898734567901,125.17127438271606,90.31578932570497,-1.2669876242017313,-91.22310894252465,Ramganga,2,2
3318,decreasing,8.665695803600215e-06,-0.35837245696400627,-0.06800627150449673,7.412252213826299,5.376124942785143,-1.2649682108999787,-91.07771118479846,Sainj,5,5
3820,decreasing,8.460085512140836e-07,-0.3967136150234742,-0.41248071181318696,43.498091686034805,32.614738725242006,-1.26470647300924,-91.0588660566653,Rihand,3,3
3537,decreasing,9.066435339821766e-06,-0.35758998435054773,-0.07359729632183908,7.32815520275862,5.864194599288721,-1.2550282067850516,-90.36203088852372,Karwan,4,4
3375,decreasing,2.1969892461726204e-05,-0.34194053208137715,-0.29161456247807016,31.60282363047149,23.57070752070707,-1.2371905349972385,-89.07771851980118,Pahuj,4,4
