seg_id,river_name,tier,spei_cell_lat,spei_cell_lon,spei_data_available,spei12_annual_mean,spei12_early_mean,spei12_late_mean,spei12_pct_change_proxy,spei12_mk_trend,spei12_mk_p,spei12_mk_tau,spei12_sens_slope,spei_category
3508,Gambhir,99,26.725,76.825,True,0.077,0.1149,0.0279,-0.087,no trend,0.09936803745714684,-0.134,-0.007038,SPEI Stable
3509,Gambhir,99,26.775,76.875,True,0.065,0.1351,-0.0255,-0.1606,decreasing,0.026843990224870717,-0.1799,-0.009664,SPEI Drying
3510,Banganga,99,27.075,76.725,True,0.0982,0.1022,0.0931,-0.0091,no trend,0.29266673111808905,-0.0857,-0.004488,SPEI Stable
3514,Khari,99,27.375,77.375,True,-0.0077,0.0055,-0.0248,-0.0303,no trend,0.06062067143372318,-0.1525,-0.007759,SPEI Stable
3515,Khari,99,27.425,77.375,True,-0.0572,-0.0383,-0.0816,-0.0433,no trend,0.1338694227851347,-0.1219,-0.006872,SPEI Stable
3516,Sanwan,99,27.075,76.375,True,0.0958,-0.0137,0.2371,0.2507,no trend,0.4933559583597926,0.0559,0.002977,SPEI Stable
3517,Sanwan,99,27.125,76.425,True,0.1002,0.0068,0.2207,0.2139,no trend,0.7507335153518226,0.0262,0.001341,SPEI Stable
3518,Banganga,99,26.925,76.525,True,0.0926,-0.0471,0.2729,0.3199,no trend,0.49964167063568277,0.0551,0.002994,SPEI Stable
3519,Sanwan,99,27.075,76.325,True,0.1462,0.0339,0.291,0.2572,no trend,0.35073611533288473,0.0761,0.004579,SPEI Stable
3520,Barah,99,27.425,76.575,True,0.1315,0.1188,0.1479,0.029,no trend,0.5514186979590701,-0.0487,-0.002905,SPEI Stable
3521,Sanwan,99,27.075,76.375,True,0.0958,-0.0137,0.2371,0.2507,no trend,0.4933559583597926,0.0559,0.002977,SPEI Stable
3522,Sanwan,99,27.025,76.575,True,0.0912,0.0663,0.1232,0.0569,no trend,0.5187510088374183,-0.0527,-0.003189,SPEI Stable
3523,Banganga,99,26.975,76.675,True,0.0836,0.0663,0.106,0.0398,no trend,0.4505660066901904,-0.0616,-0.003251,SPEI Stable
3524,Banganga,99,27.075,76.825,True,0.0773,0.1,0.048,-0.0519,no trend,0.12879503408223458,-0.1235,-0.006201,SPEI Stable
3526,Khari,99,27.775,77.125,True,-0.0396,-0.062,-0.0107,0.0513,no trend,0.5987876258427536,-0.0431,-0.002094,SPEI Stable
3527,Khari,99,27.675,77.275,True,-0.0675,-0.1247,0.0062,0.1309,no trend,0.3558846702088707,-0.0753,-0.003142,SPEI Stable
3528,Barah,99,27.525,77.125,True,0.0002,-0.0006,0.0013,0.0019,no trend,0.0841060449623876,-0.1404,-0.006589,SPEI Stable
3530,Khari,99,27.575,77.375,True,-0.0564,-0.1105,0.0135,0.124,no trend,0.29724374939128984,-0.0849,-0.004266,SPEI Stable
