seg_id,early_mean,late_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean
3821,2.9780739726022727,0.9133358377688171,-2.0647381348334557,-69.33132466918764,Sengur,4,4,2.0752825848239436
3822,2.839434556123106,1.0758505865860215,-1.7635839695370845,-62.11039327298455,Rihand,3,3,2.067811981995305
3975,4.472039710219697,1.772052948091398,-2.699986762128299,-60.374838710805136,Sai,3,3,3.2947167283450707
3533,3.8118624515132575,1.5143677296774192,-2.2974947218358386,-60.27223571311615,Yamuna,1,1,2.806747745140845
3824,10.256523520757575,4.247096841774193,-6.009426678983382,-58.591263080723756,Yamuna,1,1,7.632671202159624
3481,2.8618404481988637,1.2456582077688172,-1.6161822404300465,-56.4735270775564,Sengur,4,4,2.154114635633803
3367,12.483752546515152,5.540436442715054,-6.943316103800099,-55.61882196822565,Non,4,4,9.44344288907277
3354,2.476587319185606,1.1724380116666666,-1.3041493075189392,-52.65912885105914,Sengur,4,4,1.9051279037441315
3825,22.01730723626894,10.477010731451614,-11.540296504817327,-52.41465898158102,Non,4,4,16.964147567957745
3807,18.07575592195076,8.667624333333332,-9.408131588617426,-52.048343810575695,Pandu,5,5,13.972437437089201
4120,4.415777493274621,2.1359646439247313,-2.27981284934989,-51.628798163451904,Manmaheshwari,5,5,3.41749627221831
3303,2.0364677307784094,0.9960822736021506,-1.0403854571762587,-51.08774577923643,Yamuna,1,1,1.5826444804577466
3796,4.872332525128789,2.3889020857526884,-2.4834304393761,-50.97005236337922,Garra,4,4,3.7866598444600936
3894,7.658489902102272,3.7552980784946235,-3.903191823607649,-50.96555422154717,Mandal,5,5,5.947776428368544
3497,1.2227271720397728,0.6107733167204301,-0.6119538553193427,-50.048274816570206,Yamuna,1,1,0.9551290849882629
3305,1.5476964796022727,0.7761876818817204,-0.7715087977205524,-49.8488436129812,Yamuna,1,1,1.211527486021127
3482,16.202278502443182,8.171068234946237,-8.031210267496945,-49.568400310400165,Ganga,1,1,12.69219699988263
3976,12.176111446174243,6.257884249865591,-5.918227196308652,-48.60523183013547,Ganga,1,1,9.606986001232395
3502,11.660358888011363,5.993234243817204,-5.667124644194159,-48.60163137878056,Karwan,4,4,9.181896192957746
3877,3.3267767355132576,1.7165824011290323,-1.6101943343842253,-48.40103386546628,Ganga,1,1,2.622684063873239
3826,46.99427824335227,24.34252002956989,-22.65175821378238,-48.20109821983841,Sengur,4,4,37.08481261725352
3541,2.472679423939394,1.2858301843817206,-1.1868492395576735,-47.998508341482584,Karwan,4,4,1.9538128565610329
3979,69.12494244346591,35.97602563010752,-33.14891681335839,-47.95507329423002,Sai,3,3,54.64927627453052
3823,8.945987223636363,4.677186592580646,-4.268800631055718,-47.717490807241916,Non,4,4,7.076609378215962
4009,3.642820059496212,1.9246607990591398,-1.7181592604370721,-47.1656363030648,Sai,3,3,2.8922887907511736
3503,16.289507703655303,8.629106316397849,-7.660401387257455,-47.02659851125206,Karwan,4,4,12.940078862323944
3484,44.00670622653409,23.426290970698926,-20.580415255835167,-46.766543148885084,Sengur,4,4,35.0029101269953
3983,79.9995977284091,42.60187258870968,-37.39772513969942,-46.74739148896858,Sai,3,3,63.66804083568075
3974,3.3185276569526514,1.7734905375806451,-1.5450371193720063,-46.5579099856226,Sai,3,3,2.6433009718661973
3905,5.873914053270833,3.164039014408602,-2.709875038862231,-46.13406008814962,Ganga,1,1,4.687925165880282
3817,2.360525473564394,1.2734942178225808,-1.0870312557418131,-46.050392927994785,Ganga,1,1,1.8865029337206574
3815,4.641296832683713,2.5062662592473117,-2.135030573436401,-46.00073320890949,Ganga,1,1,3.7096562994248825
3989,88.49234430198864,47.843831436827955,-40.64851286516068,-45.93449657796806,Sai,3,3,70.74459340962441
4765,4.89307498607197,2.651119619327957,-2.2419553667440133,-45.81894561447943,Ghaghara,1,1,3.915603608626761
3990,91.86862260284092,50.00329563844086,-41.865326964400055,-45.5708660675026,Sai,3,3,73.59102065786385
3896,6.08314104580303,3.315763828629032,-2.767377217173998,-45.49257030762598,Palain,5,5,4.869444832558685
4414,18.742403529109847,10.234069853494624,-8.508333675615223,-45.39617164042203,Rapti,2,2,15.033352271361501
3864,3.0577867790549242,1.670512889435484,-1.3872738896194403,-45.36856196520699,Ramganga,2,2,2.4517594124178403
3820,40.74844917168561,22.380632882258066,-18.36781628942754,-45.076111269997895,Rihand,3,3,32.72971658650235
3538,24.369831684772727,13.554296622580646,-10.815535062192081,-44.3808361177565,Karwan,4,4,19.640725876995308
3498,2.30591279725,1.2827910041129031,-1.0231217931370968,-44.36949195811992,Karwan,4,4,1.8590441253286385
3978,46.64210634674242,26.005467018279568,-20.636639328462856,-44.244655623071274,Sai,3,3,37.62860100539906
4797,8.343467761856061,4.654135190510752,-3.689332571345309,-44.21821569458059,Sharda,2,2,6.730206272617371
3539,26.027665771893936,14.524109215322582,-11.503556556571354,-44.197419228402374,Karwan,4,4,20.997551384624412
3806,5.38760263714394,3.0149781746774194,-2.3726244624665203,-44.0385941997439,Ganga,1,1,4.350190401173709
3982,12.812896211136366,7.177398865591397,-5.635497345544969,-43.98300940459394,Kadhu,5,5,10.353573054929576
3363,8.959174743759469,5.019861527446237,-3.9393132163132325,-43.969599086759295,Pahuj,4,4,7.230756334577465
4430,21.066290016420457,11.85547732903226,-9.210812687388197,-43.72299384565902,Gandak,2,2,17.04631292124413
3279,2.5314602428598487,1.4274418844892474,-1.1040183583706014,-43.61191772553246,Yamuna,1,1,2.051489032840376
