seg_id,river_name,tier,intervention_year,n_upstream_dams,total_upstream_capacity_mcm,pre_years,post_years,pre_mean_m3s,post_mean_m3s,pre_cv,post_cv,pct_change_post_vs_pre,mann_whitney_U,p_value,dam_effect,a6_category,a6_severity
4570,Ganga,1,1992,558,27858.39,41,31,5552.3454,4807.5085,0.2675,0.2919,-13.41,818.0,0.03847133498311455,Significant Reduction,Drying,Moderate Drying
4589,Auranga,99,1985,1,0.0,34,38,25.9968,22.7344,0.41,0.3384,-12.55,740.0,0.2915841050256357,No Significant Change,Stable,Stable
4596,Koel,99,1985,2,3.48,34,38,91.8643,78.8235,0.3837,0.3057,-14.2,781.0,0.12923613663721675,No Significant Change,Stable,Stable
4597,Tahle,99,1973,2,191.3,22,50,13.6051,12.1,0.4164,0.4111,-11.06,637.0,0.29031835114273363,No Significant Change,Stable,Stable
4598,Koel,99,1985,4,141.1,34,38,135.015,116.2222,0.3921,0.3051,-13.92,770.0,0.16360642775561074,No Significant Change,Stable,Stable
4600,Koel,99,1979,7,333.25,28,44,159.8342,125.0323,0.3588,0.3204,-21.77,843.0,0.008888135691668641,Significant Reduction,Stable,Stable
4601,Koel,99,1979,7,333.25,28,44,172.6491,135.9696,0.3597,0.3186,-21.25,832.0,0.012800755258125088,Significant Reduction,Stable,Stable
4602,Kanhar,99,1974,7,48.19,23,49,69.7997,58.3262,0.3453,0.3597,-16.44,717.0,0.06462900090891108,No Significant Change,Drying,Mild Drying
4604,Barhki,99,1987,1,2.31,36,36,7.2571,6.6971,0.3771,0.4369,-7.72,725.0,0.388926851344923,No Significant Change,Stable,Stable
4605,Koel,99,1979,7,333.25,28,44,178.3681,140.1848,0.3601,0.318,-21.41,832.0,0.012800755258125088,Significant Reduction,Stable,Stable
4610,Kanhar,99,1957,2,2.76,6,66,10.3907,12.3523,0.4377,0.4405,18.88,157.0,0.41880297832086744,No Significant Change,Stable,Stable
4611,Kanhar,99,1957,12,950.1,6,66,86.2043,91.9759,0.3693,0.3544,6.7,179.0,0.7130640339600941,No Significant Change,Stable,Stable
